id	fixation_index	text_domain	trial	acc_bq_1	acc_bq_2	acc_bq_3	acc_tq_1	acc_tq_2	acc_tq_3	fixation_duration	next_saccade_duration	previous_saccade_duration	version	aoi	reader_id	item_id	fixation_position_x	fixation_position_y
63	70	physik	11	0	0	0	1	0	1	111	23	25	63	262	63	p0	1227.6	245.0
63	71	physik	11	0	0	0	1	0	1	425	15	23	63	265	63	p0	1294.8	251.3
63	72	physik	11	0	0	0	1	0	1	203	31	15	63	268	63	p0	1340.0	255.6
63	73	physik	11	0	0	0	1	0	1	285	16	31	63	274	63	p0	1444.9	246.3
63	74	physik	11	0	0	0	1	0	1	733	38	16	63	276	63	p0	1485.2	241.9
63	75	physik	11	0	0	0	1	0	1	175	90	38	63	262	63	p0	1238.4	248.1
63	76	physik	11	0	0	0	1	0	1	165	17	90	63	286	63	p0	113.3	312.4
63	77	physik	11	0	0	0	1	0	1	365	33	17	63	285	63	p0	99.0	313.3
63	78	physik	11	0	0	0	1	0	1	362	18	33	63	296	63	p0	266.6	307.6
63	79	physik	11	0	0	0	1	0	1	192	25	18	63	299	63	p0	315.1	303.4
63	80	physik	11	0	0	0	1	0	1	242	23	25	63	305	63	p0	411.2	307.1
63	81	physik	11	0	0	0	1	0	1	275	25	23	63	310	63	p0	497.3	309.3
63	82	physik	11	0	0	0	1	0	1	273	23	25	63	316	63	p0	594.1	310.8
63	83	physik	11	0	0	0	1	0	1	146	21	23	63	321	63	p0	685.7	304.8
63	84	physik	11	0	0	0	1	0	1	286	29	21	63	325	63	p0	738.1	307.4
63	85	physik	11	0	0	0	1	0	1	220	19	29	63	332	63	p0	857.8	318.5
63	86	physik	11	0	0	0	1	0	1	289	34	19	63	336	63	p0	912.9	325.1
63	87	physik	11	0	0	0	1	0	1	244	22	34	63	344	63	p0	1051.5	332.5
63	88	physik	11	0	0	0	1	0	1	164	21	22	63	349	63	p0	1121.4	336.5
63	89	physik	11	0	0	0	1	0	1	154	23	21	63	355	63	p0	1208.2	339.2
63	90	physik	11	0	0	0	1	0	1	568	23	23	63	358	63	p0	1276.4	343.9
63	91	physik	11	0	0	0	1	0	1	231	29	23	63	363	63	p0	1354.6	342.0
63	92	physik	11	0	0	0	1	0	1	126	102	29	63	368	63	p0	1445.7	338.7
63	93	physik	11	0	0	0	1	0	1	97	18	102	63	373	63	p0	124.3	373.0
63	94	physik	11	0	0	0	1	0	1	26	22	18	63	374	63	p0	142.9	373.5
63	95	physik	11	0	0	0	1	0	1	151	22	22	63	371	63	p0	103.1	405.0
63	96	physik	11	0	0	0	1	0	1	232	35	22	63	378	63	p0	193.5	401.8
63	97	physik	11	0	0	0	1	0	1	235	24	35	63	386	63	p0	328.4	401.7
63	98	physik	11	0	0	0	1	0	1	221	34	24	63	391	63	p0	412.8	401.5
63	99	physik	11	0	0	0	1	0	1	262	28	34	63	385	63	p0	305.6	398.9
63	100	physik	11	0	0	0	1	0	1	70	30	28	63	392	63	p0	416.5	394.3
63	101	physik	11	0	0	0	1	0	1	268	26	30	63	400	63	p0	543.2	392.3
63	102	physik	11	0	0	0	1	0	1	306	10	26	63	405	63	p0	632.9	391.1
63	103	physik	11	0	0	0	1	0	1	87	28	10	63	407	63	p0	658.7	391.3
63	104	physik	11	0	0	0	1	0	1	177	6	28	63	413	63	p0	755.0	396.8
63	105	physik	11	0	0	0	1	0	1	86	22	6	63	410	63	p0	723.7	396.4
63	106	physik	11	0	0	0	1	0	1	167	32	22	63	405	63	p0	635.3	398.5
63	107	physik	11	0	0	0	1	0	1	190	25	32	63	413	63	p0	759.4	400.7
63	108	physik	11	0	0	0	1	0	1	178	25	25	63	418	63	p0	832.1	400.3
63	109	physik	11	0	0	0	1	0	1	283	21	25	63	423	63	p0	918.4	399.1
63	110	physik	11	0	0	0	1	0	1	180	26	21	63	427	63	p0	984.7	408.5
63	111	physik	11	0	0	0	1	0	1	277	28	26	63	422	63	p0	896.8	401.2
63	112	physik	11	0	0	0	1	0	1	370	38	28	63	427	63	p0	987.9	402.7
63	113	physik	11	0	0	0	1	0	1	184	27	38	63	430	63	p0	1025.6	410.8
63	114	physik	11	0	0	0	1	0	1	216	15	27	63	437	63	p0	1130.1	410.0
63	115	physik	11	0	0	0	1	0	1	254	28	15	63	440	63	p0	1176.9	406.6
63	116	physik	11	0	0	0	1	0	1	251	21	28	63	447	63	p0	1299.0	403.5
63	117	physik	11	0	0	0	1	0	1	202	11	21	63	452	63	p0	1376.6	411.0
63	118	physik	11	0	0	0	1	0	1	273	17	11	63	454	63	p0	1415.6	416.3
63	119	physik	11	0	0	0	1	0	1	260	6	17	63	456	63	p0	1450.4	413.7
63	120	physik	11	0	0	0	1	0	1	110	103	6	63	457	63	p0	1476.2	416.4
63	121	physik	11	0	0	0	1	0	1	69	35	103	63	474	63	p0	312.0	436.5
63	122	physik	11	0	0	0	1	0	1	219	11	35	63	464	63	p0	154.7	490.7
63	123	physik	11	0	0	0	1	0	1	286	33	11	63	462	63	p0	128.3	490.3
63	124	physik	11	0	0	0	1	0	1	219	34	33	63	471	63	p0	261.2	493.5
63	125	physik	11	0	0	0	1	0	1	275	40	34	63	478	63	p0	383.1	480.6
63	126	physik	11	0	0	0	1	0	1	189	22	40	63	484	63	p0	472.1	478.4
63	127	physik	11	0	0	0	1	0	1	159	27	22	63	487	63	p0	543.9	471.1
63	128	physik	11	0	0	0	1	0	1	190	18	27	63	492	63	p0	622.9	479.8
63	129	physik	11	0	0	0	1	0	1	190	20	18	63	489	63	p0	580.3	483.3
63	130	physik	11	0	0	0	1	0	1	238	40	20	63	494	63	p0	651.8	480.4
63	131	physik	11	0	0	0	1	0	1	227	37	40	63	397	63	p0	501.6	398.2
63	132	physik	11	0	0	0	1	0	1	206	21	37	63	408	63	p0	688.2	396.0
63	133	physik	11	0	0	0	1	0	1	170	37	21	63	412	63	p0	743.8	397.8
63	134	physik	11	0	0	0	1	0	1	566	36	37	63	423	63	p0	913.8	401.7
63	135	physik	11	0	0	0	1	0	1	164	24	36	63	503	63	p0	784.2	501.4
63	136	physik	11	0	0	0	1	0	1	169	30	24	63	500	63	p0	739.4	487.6
63	137	physik	11	0	0	0	1	0	1	185	24	30	63	506	63	p0	837.6	488.6
63	138	physik	11	0	0	0	1	0	1	224	34	24	63	511	63	p0	932.6	484.4
63	139	physik	11	0	0	0	1	0	1	146	28	34	63	518	63	p0	1043.5	483.3
63	140	physik	11	0	0	0	1	0	1	222	15	28	63	523	63	p0	1132.8	486.6
63	141	physik	11	0	0	0	1	0	1	124	147	15	63	526	63	p0	1180.9	487.9
63	142	physik	11	0	0	0	1	0	1	111	133	147	63	529	63	p0	1213.0	483.9
63	143	physik	11	0	0	0	1	0	1	208	20	133	63	525	63	p0	1169.3	476.2
63	144	physik	11	0	0	0	1	0	1	199	15	20	63	530	63	p0	1232.5	480.3
63	145	physik	11	0	0	0	1	0	1	187	27	15	63	533	63	p0	1279.5	484.8
63	146	physik	11	0	0	0	1	0	1	348	93	27	63	539	63	p0	1374.2	485.9
63	147	physik	11	0	0	0	1	0	1	94	10	93	63	548	63	p0	1517.5	487.3
63	148	physik	11	0	0	0	1	0	1	210	8	10	63	546	63	p0	1491.1	488.3
63	149	physik	11	0	0	0	1	0	1	160	9	8	63	548	63	p0	1513.1	495.2
63	150	physik	11	0	0	0	1	0	1	281	110	9	63	551	63	p0	1555.6	494.1
63	151	physik	11	0	0	0	1	0	1	165	16	110	63	.	63	p0	74.3	603.2
63	152	physik	11	0	0	0	1	0	1	135	22	16	63	557	63	p0	84.8	586.8
63	153	physik	11	0	0	0	1	0	1	93	27	22	63	562	63	p0	159.7	577.8
63	154	physik	11	0	0	0	1	0	1	391	31	27	63	570	63	p0	290.8	572.1
63	155	physik	11	0	0	0	1	0	1	380	31	31	63	564	63	p0	179.7	573.5
63	156	physik	11	0	0	0	1	0	1	334	29	31	63	570	63	p0	303.6	569.4
63	157	physik	11	0	0	0	1	0	1	217	17	29	63	577	63	p0	412.4	560.8
63	158	physik	11	0	0	0	1	0	1	227	31	17	63	581	63	p0	469.1	560.9
63	159	physik	11	0	0	0	1	0	1	229	17	31	63	589	63	p0	589.2	554.3
63	160	physik	11	0	0	0	1	0	1	73	32	17	63	591	63	p0	615.3	563.1
63	161	physik	11	0	0	0	1	0	1	220	23	32	63	598	63	p0	726.6	572.9
63	162	physik	11	0	0	0	1	0	1	180	28	23	63	602	63	p0	802.0	566.5
63	163	physik	11	0	0	0	1	0	1	157	22	28	63	607	63	p0	886.7	556.9
63	164	physik	11	0	0	0	1	0	1	164	28	22	63	612	63	p0	968.8	558.1
63	165	physik	11	0	0	0	1	0	1	175	22	28	63	617	63	p0	1065.2	559.4
63	166	physik	11	0	0	0	1	0	1	162	18	22	63	622	63	p0	1133.0	553.8
63	167	physik	11	0	0	0	1	0	1	66	30	18	63	626	63	p0	1189.0	556.6
63	168	physik	11	0	0	0	1	0	1	189	16	30	63	632	63	p0	1297.9	558.5
63	169	physik	11	0	0	0	1	0	1	330	20	16	63	634	63	p0	1338.4	558.0
63	170	physik	11	0	0	0	1	0	1	209	17	20	63	638	63	p0	1405.9	557.5
63	171	physik	11	0	0	0	1	0	1	234	62	17	63	642	63	p0	1467.6	559.4
63	172	physik	11	0	0	0	1	0	1	147	108	62	63	649	63	p0	1579.9	558.2
63	173	physik	11	0	0	0	1	0	1	131	15	108	63	653	63	p0	112.5	659.2
63	174	physik	11	0	0	0	1	0	1	159	30	15	63	.	63	p0	80.5	654.8
63	175	physik	11	0	0	0	1	0	1	144	24	30	63	657	63	p0	180.2	637.3
63	176	physik	11	0	0	0	1	0	1	157	21	24	63	661	63	p0	261.5	628.7
63	177	physik	11	0	0	0	1	0	1	161	15	21	63	666	63	p0	337.3	634.1
63	178	physik	11	0	0	0	1	0	1	124	24	15	63	668	63	p0	372.6	640.0
63	179	physik	11	0	0	0	1	0	1	174	26	24	63	674	63	p0	463.0	645.8
63	180	physik	11	0	0	0	1	0	1	250	19	26	63	680	63	p0	557.1	652.2
63	181	physik	11	0	0	0	1	0	1	132	34	19	63	683	63	p0	602.1	657.8
63	182	physik	11	0	0	0	1	0	1	234	22	34	63	691	63	p0	735.4	645.3
63	183	physik	11	0	0	0	1	0	1	186	30	22	63	694	63	p0	800.2	644.5
63	184	physik	11	0	0	0	1	0	1	318	37	30	63	702	63	p0	922.7	637.0
63	185	physik	11	0	0	0	1	0	1	165	9	37	63	712	63	p0	1076.3	641.8
63	186	physik	11	0	0	0	1	0	1	122	22	9	63	710	63	p0	1057.0	644.5
63	187	physik	11	0	0	0	1	0	1	165	23	22	63	715	63	p0	1137.4	650.1
63	188	physik	11	0	0	0	1	0	1	147	20	23	63	721	63	p0	1231.3	648.4
63	189	physik	11	0	0	0	1	0	1	235	35	20	63	724	63	p0	1294.6	648.9
63	190	physik	11	0	0	0	1	0	1	201	16	35	63	732	63	p0	1419.0	640.8
63	191	physik	11	0	0	0	1	0	1	238	148	16	63	735	63	p0	1473.4	637.9
63	192	physik	11	0	0	0	1	0	1	179	33	148	63	.	63	p0	70.8	753.4
63	193	physik	11	0	0	0	1	0	1	147	6	33	63	751	63	p0	256.3	719.9
63	194	physik	11	0	0	0	1	0	1	177	26	6	63	749	63	p0	232.2	724.9
63	195	physik	11	0	0	0	1	0	1	234	23	26	63	756	63	p0	329.9	714.2
63	196	physik	11	0	0	0	1	0	1	147	19	23	63	760	63	p0	405.3	718.6
63	197	physik	11	0	0	0	1	0	1	180	34	19	63	765	63	p0	476.9	723.7
