id	fixation_index	text_domain	trial	acc_bq_1	acc_bq_2	acc_bq_3	acc_tq_1	acc_tq_2	acc_tq_3	fixation_duration	next_saccade_duration	previous_saccade_duration	version	aoi	reader_id	item_id	fixation_position_x	fixation_position_y
99	1	bio	3	0	0	1	0	1	0	190	29	.	99	.	99	b0	77.1	50.4
99	2	bio	3	0	0	1	0	1	0	175	95	29	99	10	99	b0	237.2	58.9
99	3	bio	3	0	0	1	0	1	0	86	32	95	99	3	99	b0	132.1	39.3
99	4	bio	3	0	0	1	0	1	0	145	25	32	99	1	99	b0	85.5	45.9
99	5	bio	3	0	0	1	0	1	0	227	28	25	99	5	99	b0	166.5	44.8
99	6	bio	3	0	0	1	0	1	0	246	30	28	99	13	99	b0	284.6	42.6
99	7	bio	3	0	0	1	0	1	0	228	16	30	99	21	99	b0	416.2	46.9
99	8	bio	3	0	0	1	0	1	0	278	30	16	99	20	99	b0	389.6	48.9
99	9	bio	3	0	0	1	0	1	0	335	21	30	99	29	99	b0	538.7	43.7
99	10	bio	3	0	0	1	0	1	0	178	36	21	99	25	99	b0	480.8	53.2
99	11	bio	3	0	0	1	0	1	0	442	40	36	99	38	99	b0	657.1	64.4
99	12	bio	3	0	0	1	0	1	0	244	30	40	99	49	99	b0	809.6	50.1
99	13	bio	3	0	0	1	0	1	0	293	33	30	99	60	99	b0	975.3	49.0
99	14	bio	3	0	0	1	0	1	0	181	31	33	99	70	99	b0	1151.8	40.7
99	15	bio	3	0	0	1	0	1	0	108	116	31	99	79	99	b0	1296.7	37.7
99	16	bio	3	0	0	1	0	1	0	164	23	116	99	84	99	b0	1369.3	45.7
99	17	bio	3	0	0	1	0	1	0	354	18	23	99	87	99	b0	1424.4	51.2
99	18	bio	3	0	0	1	0	1	0	139	32	18	99	85	99	b0	1386.3	37.1
99	19	bio	3	0	0	1	0	1	0	181	26	32	99	80	99	b0	1311.8	28.2
99	20	bio	3	0	0	1	0	1	0	197	23	26	99	86	99	b0	1410.5	38.0
99	21	bio	3	0	0	1	0	1	0	244	19	23	99	89	99	b0	1455.5	38.9
99	22	bio	3	0	0	1	0	1	0	257	22	19	99	86	99	b0	1414.8	35.0
99	23	bio	3	0	0	1	0	1	0	124	151	22	99	89	99	b0	1461.5	51.4
99	24	bio	3	0	0	1	0	1	0	136	22	151	99	96	99	b0	176.1	133.8
99	25	bio	3	0	0	1	0	1	0	156	40	22	99	95	99	b0	150.2	141.4
99	26	bio	3	0	0	1	0	1	0	229	26	40	99	104	99	b0	282.9	137.5
99	27	bio	3	0	0	1	0	1	0	278	40	26	99	110	99	b0	389.4	130.6
99	28	bio	3	0	0	1	0	1	0	182	24	40	99	120	99	b0	546.6	136.1
99	29	bio	3	0	0	1	0	1	0	201	42	24	99	116	99	b0	492.5	142.4
99	30	bio	3	0	0	1	0	1	0	256	31	42	99	131	99	b0	721.2	133.6
99	31	bio	3	0	0	1	0	1	0	210	32	31	99	143	99	b0	911.5	134.8
99	32	bio	3	0	0	1	0	1	0	153	44	32	99	140	99	b0	858.7	139.8
99	33	bio	3	0	0	1	0	1	0	283	31	44	99	155	99	b0	1108.4	131.2
99	34	bio	3	0	0	1	0	1	0	143	24	31	99	151	99	b0	1046.3	133.5
99	35	bio	3	0	0	1	0	1	0	222	28	24	99	149	99	b0	1017.9	135.3
99	36	bio	3	0	0	1	0	1	0	238	13	28	99	156	99	b0	1119.6	120.2
99	37	bio	3	0	0	1	0	1	0	316	20	13	99	154	99	b0	1098.1	125.0
99	38	bio	3	0	0	1	0	1	0	356	22	20	99	158	99	b0	1144.4	114.5
99	39	bio	3	0	0	1	0	1	0	295	22	22	99	162	99	b0	1201.1	112.8
99	40	bio	3	0	0	1	0	1	0	131	118	22	99	165	99	b0	1258.8	116.4
99	41	bio	3	0	0	1	0	1	0	323	27	118	99	169	99	b0	1339.0	124.1
99	42	bio	3	0	0	1	0	1	0	230	83	27	99	175	99	b0	1422.4	123.9
99	43	bio	3	0	0	1	0	1	0	321	40	83	99	29	99	b0	541.8	41.0
99	44	bio	3	0	0	1	0	1	0	206	35	40	99	42	99	b0	710.9	42.3
99	45	bio	3	0	0	1	0	1	0	179	56	35	99	36	99	b0	633.3	40.9
99	46	bio	3	0	0	1	0	1	0	130	57	56	99	21	99	b0	407.5	47.7
99	47	bio	3	0	0	1	0	1	0	264	40	57	99	6	99	b0	188.2	64.6
99	48	bio	3	0	0	1	0	1	0	129	34	40	99	17	99	b0	340.0	58.3
99	49	bio	3	0	0	1	0	1	0	199	35	34	99	22	99	b0	424.3	51.6
99	50	bio	3	0	0	1	0	1	0	269	31	35	99	35	99	b0	620.5	52.6
99	51	bio	3	0	0	1	0	1	0	329	35	31	99	50	99	b0	821.5	61.4
99	52	bio	3	0	0	1	0	1	0	262	26	35	99	43	99	b0	736.0	56.0
99	53	bio	3	0	0	1	0	1	0	265	43	26	99	38	99	b0	659.1	44.1
99	54	bio	3	0	0	1	0	1	0	180	39	43	99	51	99	b0	849.8	45.4
99	55	bio	3	0	0	1	0	1	0	180	41	39	99	59	99	b0	971.9	42.6
99	56	bio	3	0	0	1	0	1	0	97	102	41	99	71	99	b0	1166.7	28.7
99	57	bio	3	0	0	1	0	1	0	73	52	102	99	69	99	b0	1140.3	44.1
99	58	bio	3	0	0	1	0	1	0	224	29	52	99	144	99	b0	924.2	127.4
99	59	bio	3	0	0	1	0	1	0	160	46	29	99	141	99	b0	866.1	121.3
99	60	bio	3	0	0	1	0	1	0	137	139	46	99	156	99	b0	1124.5	104.2
99	61	bio	3	0	0	1	0	1	0	39	38	139	99	160	99	b0	1181.3	99.9
99	62	bio	3	0	0	1	0	1	0	180	8	38	99	64	99	b0	1033.4	98.5
99	63	bio	3	0	0	1	0	1	0	62	36	8	99	151	99	b0	1047.3	104.3
99	64	bio	3	0	0	1	0	1	0	186	41	36	99	158	99	b0	1151.1	101.2
99	65	bio	3	0	0	1	0	1	0	186	24	41	99	169	99	b0	1332.6	99.3
99	66	bio	3	0	0	1	0	1	0	325	23	24	99	174	99	b0	1411.0	107.1
99	67	bio	3	0	0	1	0	1	0	153	27	23	99	179	99	b0	1488.7	115.9
99	68	bio	3	0	0	1	0	1	0	284	154	27	99	185	99	b0	1581.9	128.0
99	69	bio	3	0	0	1	0	1	0	113	33	154	99	191	99	b0	172.2	198.0
99	70	bio	3	0	0	1	0	1	0	148	28	33	99	188	99	b0	125.6	214.3
99	71	bio	3	0	0	1	0	1	0	179	39	28	99	198	99	b0	287.6	217.8
99	72	bio	3	0	0	1	0	1	0	147	30	39	99	208	99	b0	450.0	206.2
99	73	bio	3	0	0	1	0	1	0	236	28	30	99	206	99	b0	409.6	218.8
99	74	bio	3	0	0	1	0	1	0	150	40	28	99	214	99	b0	528.9	222.0
99	75	bio	3	0	0	1	0	1	0	219	73	40	99	222	99	b0	665.9	215.2
99	76	bio	3	0	0	1	0	1	0	171	38	73	99	194	99	b0	211.5	221.6
99	77	bio	3	0	0	1	0	1	0	138	39	38	99	201	99	b0	326.2	220.0
99	78	bio	3	0	0	1	0	1	0	97	99	39	99	208	99	b0	445.1	220.8
99	79	bio	3	0	0	1	0	1	0	257	36	99	99	229	99	b0	782.0	214.3
99	80	bio	3	0	0	1	0	1	0	132	33	36	99	234	99	b0	854.6	223.0
99	81	bio	3	0	0	1	0	1	0	162	18	33	99	230	99	b0	797.1	212.7
99	82	bio	3	0	0	1	0	1	0	442	26	18	99	229	99	b0	769.2	211.3
99	83	bio	3	0	0	1	0	1	0	235	34	26	99	235	99	b0	865.6	218.3
99	84	bio	3	0	0	1	0	1	0	223	26	34	99	246	99	b0	1044.1	213.4
99	85	bio	3	0	0	1	0	1	0	213	31	26	99	252	99	b0	1146.7	208.1
99	86	bio	3	0	0	1	0	1	0	180	22	31	99	261	99	b0	1298.3	205.7
99	87	bio	3	0	0	1	0	1	0	338	42	22	99	258	99	b0	1252.3	210.5
99	88	bio	3	0	0	1	0	1	0	297	150	42	99	269	99	b0	1428.6	213.1
99	89	bio	3	0	0	1	0	1	0	159	48	150	99	281	99	b0	186.2	290.4
99	90	bio	3	0	0	1	0	1	0	210	55	48	99	290	99	b0	321.0	296.8
99	91	bio	3	0	0	1	0	1	0	206	31	55	99	279	99	b0	150.2	304.0
99	92	bio	3	0	0	1	0	1	0	411	39	31	99	283	99	b0	212.3	298.2
99	93	bio	3	0	0	1	0	1	0	149	38	39	99	291	99	b0	332.3	305.2
99	94	bio	3	0	0	1	0	1	0	176	105	38	99	297	99	b0	437.6	306.9
99	95	bio	3	0	0	1	0	1	0	336	48	105	99	287	99	b0	285.8	314.3
99	96	bio	3	0	0	1	0	1	0	274	65	48	99	302	99	b0	525.3	324.0
99	97	bio	3	0	0	1	0	1	0	164	32	65	99	254	99	b0	1190.7	217.9
99	98	bio	3	0	0	1	0	1	0	79	58	32	99	250	99	b0	1129.6	208.4
99	99	bio	3	0	0	1	0	1	0	130	44	58	99	233	99	b0	840.0	204.0
99	100	bio	3	0	0	1	0	1	0	79	146	44	99	229	99	b0	777.3	210.6
99	101	bio	3	0	0	1	0	1	0	151	48	146	99	298	99	b0	446.2	299.9
99	102	bio	3	0	0	1	0	1	0	188	36	48	99	293	99	b0	375.0	292.7
99	103	bio	3	0	0	1	0	1	0	135	43	36	99	289	99	b0	309.1	293.6
99	104	bio	3	0	0	1	0	1	0	254	44	43	99	304	99	b0	544.7	300.5
99	105	bio	3	0	0	1	0	1	0	281	36	44	99	316	99	b0	738.1	302.5
99	106	bio	3	0	0	1	0	1	0	304	49	36	99	313	99	b0	685.7	313.1
99	107	bio	3	0	0	1	0	1	0	370	41	49	99	329	99	b0	945.0	310.9
99	108	bio	3	0	0	1	0	1	0	156	28	41	99	337	99	b0	1069.4	299.9
