fixation_index	text_domain	trial	acc_bq_1	acc_bq_2	acc_bq_3	acc_tq_1	acc_tq_2	acc_tq_3	fixation_duration	next_saccade_duration	previous_saccade_duration	version	aoi	reader_id	item_id	fixation_position_x	fixation_position_y
1	bio	5	0	0	1	0	1	1	157	23	.	71	1	7	b4	86.5	54.1
2	bio	5	0	0	1	0	1	1	156	23	23	71	6	7	b4	164.3	45.5
3	bio	5	0	0	1	0	1	1	159	15	23	71	9	7	b4	213.3	40.5
4	bio	5	0	0	1	0	1	1	179	21	15	71	11	7	b4	244.2	41.9
5	bio	5	0	0	1	0	1	1	166	19	21	71	14	7	b4	282.6	43.7
6	bio	5	0	0	1	0	1	1	167	29	19	71	16	7	b4	312.6	46.1
7	bio	5	0	0	1	0	1	1	199	13	29	71	27	7	b4	479.9	39.1
8	bio	5	0	0	1	0	1	1	270	9	13	71	26	7	b4	467.6	41.3
9	bio	5	0	0	1	0	1	1	226	35	9	71	25	7	b4	455.6	49.1
10	bio	5	0	0	1	0	1	1	183	34	35	71	31	7	b4	537.0	44.8
11	bio	5	0	0	1	0	1	1	381	25	34	71	25	7	b4	452.9	52.4
12	bio	5	0	0	1	0	1	1	758	23	25	71	30	7	b4	513.0	48.1
13	bio	5	0	0	1	0	1	1	174	12	23	71	28	7	b4	488.5	48.1
14	bio	5	0	0	1	0	1	1	352	29	12	71	26	7	b4	461.6	45.1
15	bio	5	0	0	1	0	1	1	378	12	29	71	30	7	b4	520.5	43.5
16	bio	5	0	0	1	0	1	1	345	24	12	71	29	7	b4	504.8	45.5
17	bio	5	0	0	1	0	1	1	272	66	24	71	32	7	b4	549.4	44.3
18	bio	5	0	0	1	0	1	1	263	24	66	71	3	7	b4	120.3	45.0
19	bio	5	0	0	1	0	1	1	203	20	24	71	10	7	b4	221.2	45.7
20	bio	5	0	0	1	0	1	1	212	21	20	71	14	7	b4	275.7	46.4
21	bio	5	0	0	1	0	1	1	166	36	21	71	17	7	b4	328.1	53.7
22	bio	5	0	0	1	0	1	1	203	12	36	71	28	7	b4	490.7	37.7
23	bio	5	0	0	1	0	1	1	125	30	12	71	27	7	b4	471.6	37.4
24	bio	5	0	0	1	0	1	1	217	14	30	71	39	7	b4	679.3	38.7
25	bio	5	0	0	1	0	1	1	135	37	14	71	39	7	b4	661.1	37.0
26	bio	5	0	0	1	0	1	1	343	11	37	71	48	7	b4	818.4	39.4
27	bio	5	0	0	1	0	1	1	439	34	11	71	47	7	b4	798.2	37.2
28	bio	5	0	0	1	0	1	1	409	30	34	71	53	7	b4	881.2	41.6
29	bio	5	0	0	1	0	1	1	313	7	30	71	39	7	b4	673.7	38.9
30	bio	5	0	0	1	0	1	1	145	23	7	71	40	7	b4	684.4	38.0
31	bio	5	0	0	1	0	1	1	312	23	23	71	37	7	b4	638.4	35.8
32	bio	5	0	0	1	0	1	1	145	34	23	71	42	7	b4	718.3	37.1
33	bio	5	0	0	1	0	1	1	223	31	34	71	49	7	b4	822.1	36.7
34	bio	5	0	0	1	0	1	1	181	19	31	71	52	7	b4	876.1	42.6
35	bio	5	0	0	1	0	1	1	230	16	19	71	56	7	b4	921.8	43.4
36	bio	5	0	0	1	0	1	1	233	25	16	71	54	7	b4	895.0	43.6
37	bio	5	0	0	1	0	1	1	168	36	25	71	58	7	b4	951.9	48.5
38	bio	5	0	0	1	0	1	1	125	13	36	71	64	7	b4	1050.9	47.6
39	bio	5	0	0	1	0	1	1	22	98	13	71	66	7	b4	1083.9	61.6
40	bio	5	0	0	1	0	1	1	134	27	98	71	68	7	b4	1105.3	71.4
41	bio	5	0	0	1	0	1	1	461	26	27	71	76	7	b4	1234.7	70.2
42	bio	5	0	0	1	0	1	1	202	19	26	71	85	7	b4	1374.1	41.2
43	bio	5	0	0	1	0	1	1	165	21	19	71	89	7	b4	1435.0	48.5
44	bio	5	0	0	1	0	1	1	261	16	21	71	92	7	b4	1494.2	53.2
45	bio	5	0	0	1	0	1	1	162	21	16	71	94	7	b4	1534.4	56.9
46	bio	5	0	0	1	0	1	1	80	103	21	71	97	7	b4	1588.4	58.1
47	bio	5	0	0	1	0	1	1	108	34	103	71	109	7	b4	232.4	133.0
48	bio	5	0	0	1	0	1	1	354	21	34	71	103	7	b4	138.9	134.7
49	bio	5	0	0	1	0	1	1	272	34	21	71	101	7	b4	117.2	134.2
50	bio	5	0	0	1	0	1	1	166	30	34	71	109	7	b4	228.0	132.1
