fixation_index	text_domain	trial	acc_bq_1	acc_bq_2	acc_bq_3	acc_tq_1	acc_tq_2	acc_tq_3	fixation_duration	next_saccade_duration	previous_saccade_duration	version	aoi	reader_id	item_id	fixation_position_x	fixation_position_y
1	physik	10	0	1	0	1	1	1	144	21	.	99	5	99	p2	142.4	45.2
2	physik	10	0	1	0	1	1	1	261	26	21	99	8	99	p2	188.4	58.6
3	physik	10	0	1	0	1	1	1	205	42	26	99	15	99	p2	299.6	42.8
4	physik	10	0	1	0	1	1	1	189	22	42	99	6	99	p2	158.9	52.3
5	physik	10	0	1	0	1	1	1	326	6	22	99	4	99	p2	128.0	51.4
6	physik	10	0	1	0	1	1	1	268	24	6	99	4	99	p2	135.2	43.2
7	physik	10	0	1	0	1	1	1	174	33	24	99	8	99	p2	180.8	37.6
8	physik	10	0	1	0	1	1	1	140	25	33	99	20	99	p2	378.6	30.0
9	physik	10	0	1	0	1	1	1	229	21	25	99	26	99	p2	475.7	37.5
10	physik	10	0	1	0	1	1	1	185	34	21	99	24	99	p2	446.1	33.0
11	physik	10	0	1	0	1	1	1	341	24	34	99	35	99	p2	622.2	26.7
12	physik	10	0	1	0	1	1	1	263	20	24	99	40	99	p2	692.3	31.2
13	physik	10	0	1	0	1	1	1	215	28	20	99	38	99	p2	654.5	41.2
14	physik	10	0	1	0	1	1	1	431	114	28	99	47	99	p2	796.3	32.7
15	physik	10	0	1	0	1	1	1	144	36	114	99	44	99	p2	746.5	26.8
16	physik	10	0	1	0	1	1	1	208	52	36	99	37	99	p2	646.0	38.5
17	physik	10	0	1	0	1	1	1	212	33	52	99	57	99	p2	964.2	25.2
18	physik	10	0	1	0	1	1	1	211	23	33	99	63	99	p2	1052.3	24.2
19	physik	10	0	1	0	1	1	1	160	34	23	99	61	99	p2	1022.2	24.3
20	physik	10	0	1	0	1	1	1	301	27	34	99	57	99	p2	961.2	26.8
21	physik	10	0	1	0	1	1	1	237	33	27	99	.	99	p2	1060.9	19.8
22	physik	10	0	1	0	1	1	1	270	42	33	99	.	99	p2	1263.2	7.9
23	physik	10	0	1	0	1	1	1	331	10	42	99	.	99	p2	1427.4	15.4
24	physik	10	0	1	0	1	1	1	45	36	10	99	88	99	p2	1444.4	23.8
25	physik	10	0	1	0	1	1	1	111	128	36	99	95	99	p2	1542.3	35.1
26	physik	10	0	1	0	1	1	1	116	46	128	99	107	99	p2	217.1	145.0
27	physik	10	0	1	0	1	1	1	190	37	46	99	101	99	p2	129.1	153.2
28	physik	10	0	1	0	1	1	1	214	34	37	99	108	99	p2	225.3	151.0
29	physik	10	0	1	0	1	1	1	160	33	34	99	104	99	p2	165.4	156.6
30	physik	10	0	1	0	1	1	1	165	24	33	99	100	99	p2	115.0	164.2
31	physik	10	0	1	0	1	1	1	171	30	24	99	104	99	p2	172.8	152.9
32	physik	10	0	1	0	1	1	1	335	45	30	99	116	99	p2	338.2	141.8
33	physik	10	0	1	0	1	1	1	245	33	45	99	126	99	p2	509.8	139.7
34	physik	10	0	1	0	1	1	1	385	23	33	99	135	99	p2	645.8	131.8
