fixation_index	text_domain	trial	acc_bq_1	acc_bq_2	acc_bq_3	acc_tq_1	acc_tq_2	acc_tq_3	fixation_duration	next_saccade_duration	previous_saccade_duration	version	aoi	reader_id	item_id	fixation_position_x	fixation_position_y
1	physik	12	0	0	0	1	1	1	189	20	.	94	2	94	p4	100.1	43.5
2	physik	12	0	0	0	1	1	1	53	21	20	94	4	94	p4	145.7	45.5
3	physik	12	0	0	0	1	1	1	143	61	21	94	8	94	p4	216.0	45.6
4	physik	12	0	0	0	1	1	1	67	99	61	94	14	94	p4	303.1	47.7
5	physik	12	0	0	0	1	1	1	271	8	99	94	16	94	p4	335.8	49.9
6	physik	12	0	0	0	1	1	1	232	19	8	94	15	94	p4	325.3	55.7
7	physik	12	0	0	0	1	1	1	177	27	19	94	18	94	p4	368.9	54.8
8	physik	12	0	0	0	1	1	1	264	20	27	94	28	94	p4	523.8	51.5
9	physik	12	0	0	0	1	1	1	190	26	20	94	35	94	p4	616.0	51.3
10	physik	12	0	0	0	1	1	1	258	18	26	94	29	94	p4	537.8	46.1
11	physik	12	0	0	0	1	1	1	110	87	18	94	32	94	p4	581.1	49.8
12	physik	12	0	0	0	1	1	1	105	114	87	94	37	94	p4	646.0	48.0
13	physik	12	0	0	0	1	1	1	247	21	114	94	41	94	p4	722.3	57.2
14	physik	12	0	0	0	1	1	1	163	25	21	94	45	94	p4	785.4	59.2
15	physik	12	0	0	0	1	1	1	211	44	25	94	51	94	p4	886.8	57.8
16	physik	12	0	0	0	1	1	1	206	22	44	94	60	94	p4	1036.1	58.1
17	physik	12	0	0	0	1	1	1	118	23	22	94	66	94	p4	1124.1	50.7
18	physik	12	0	0	0	1	1	1	202	21	23	94	72	94	p4	1224.7	51.4
19	physik	12	0	0	0	1	1	1	258	39	21	94	79	94	p4	1327.1	52.1
20	physik	12	0	0	0	1	1	1	209	105	39	94	90	94	p4	1498.3	35.9
21	physik	12	0	0	0	1	1	1	190	15	105	94	100	94	p4	141.2	112.5
22	physik	12	0	0	0	1	1	1	166	39	15	94	99	94	p4	126.6	123.0
23	physik	12	0	0	0	1	1	1	282	34	39	94	110	94	p4	295.3	134.2
24	physik	12	0	0	0	1	1	1	131	27	34	94	120	94	p4	444.2	139.5
25	physik	12	0	0	0	1	1	1	250	33	27	94	125	94	p4	534.3	145.8
26	physik	12	0	0	0	1	1	1	188	24	33	94	135	94	p4	687.5	134.9
27	physik	12	0	0	0	1	1	1	117	97	24	94	141	94	p4	788.6	141.2
28	physik	12	0	0	0	1	1	1	224	75	97	94	151	94	p4	948.1	141.1
29	physik	12	0	0	0	1	1	1	187	29	75	94	6	94	p4	175.1	44.0
30	physik	12	0	0	0	1	1	1	161	79	29	94	15	94	p4	325.9	44.6
31	physik	12	0	0	0	1	1	1	293	31	79	94	16	94	p4	342.1	51.0
32	physik	12	0	0	0	1	1	1	258	31	31	94	29	94	p4	531.3	47.3
33	physik	12	0	0	0	1	1	1	222	28	31	94	43	94	p4	748.7	45.8
34	physik	12	0	0	0	1	1	1	204	30	28	94	52	94	p4	899.2	50.4
35	physik	12	0	0	0	1	1	1	200	44	30	94	61	94	p4	1052.6	54.5
36	physik	12	0	0	0	1	1	1	266	27	44	94	72	94	p4	1224.4	57.1
37	physik	12	0	0	0	1	1	1	305	34	27	94	79	94	p4	1330.4	50.0
38	physik	12	0	0	0	1	1	1	186	102	34	94	90	94	p4	1505.0	41.3
39	physik	12	0	0	0	1	1	1	244	30	102	94	99	94	p4	121.4	124.3
40	physik	12	0	0	0	1	1	1	187	26	30	94	108	94	p4	272.2	128.6
41	physik	12	0	0	0	1	1	1	244	26	26	94	121	94	p4	457.3	132.0
42	physik	12	0	0	0	1	1	1	257	34	26	94	127	94	p4	566.1	139.9
43	physik	12	0	0	0	1	1	1	190	22	34	94	137	94	p4	737.3	124.1
44	physik	12	0	0	0	1	1	1	173	39	22	94	141	94	p4	786.4	131.3
45	physik	12	0	0	0	1	1	1	261	33	39	94	150	94	p4	947.6	137.9
46	physik	12	0	0	0	1	1	1	187	24	33	94	161	94	p4	1112.9	133.4
47	physik	12	0	0	0	1	1	1	212	20	24	94	168	94	p4	1223.0	133.1
48	physik	12	0	0	0	1	1	1	275	37	20	94	173	94	p4	1290.1	131.9
49	physik	12	0	0	0	1	1	1	183	13	37	94	183	94	p4	1454.0	130.5
50	physik	12	0	0	0	1	1	1	224	25	13	94	182	94	p4	1437.3	136.0
51	physik	12	0	0	0	1	1	1	226	12	25	94	188	94	p4	1532.0	123.0
52	physik	12	0	0	0	1	1	1	283	102	12	94	190	94	p4	1562.8	128.4
53	physik	12	0	0	0	1	1	1	108	55	102	94	222	94	p4	502.9	199.2
54	physik	12	0	0	0	1	1	1	158	17	55	94	199	94	p4	134.1	207.1
55	physik	12	0	0	0	1	1	1	117	28	17	94	199	94	p4	123.0	206.4
56	physik	12	0	0	0	1	1	1	414	24	28	94	208	94	p4	252.5	206.5
57	physik	12	0	0	0	1	1	1	157	22	24	94	212	94	p4	326.0	203.3
