fixation_index	text_domain	trial	acc_bq_1	acc_bq_2	acc_bq_3	acc_tq_1	acc_tq_2	acc_tq_3	fixation_duration	next_saccade_duration	previous_saccade_duration	version	aoi	reader_id	item_id	fixation_position_x	fixation_position_y
1	physik	6	0	0	0	0	0	0	233	32	.	74	3	74	p2	108.6	40.0
2	physik	6	0	0	0	0	0	0	392	31	32	74	6	74	p2	158.3	30.0
3	physik	6	0	0	0	0	0	0	235	25	31	74	17	74	p2	326.5	41.2
4	physik	6	0	0	0	0	0	0	236	33	25	74	24	74	p2	432.4	44.0
5	physik	6	0	0	0	0	0	0	165	24	33	74	27	74	p2	497.3	44.8
6	physik	6	0	0	0	0	0	0	185	22	24	74	22	74	p2	405.3	53.1
7	physik	6	0	0	0	0	0	0	201	29	22	74	18	74	p2	336.0	53.3
8	physik	6	0	0	0	0	0	0	284	19	29	74	27	74	p2	495.2	52.1
9	physik	6	0	0	0	0	0	0	224	33	19	74	24	74	p2	449.0	52.5
10	physik	6	0	0	0	0	0	0	336	24	33	74	37	74	p2	647.1	60.1
11	physik	6	0	0	0	0	0	0	429	28	24	74	30	74	p2	536.9	54.1
12	physik	6	0	0	0	0	0	0	302	29	28	74	39	74	p2	669.0	60.2
13	physik	6	0	0	0	0	0	0	346	24	29	74	48	74	p2	810.9	58.3
14	physik	6	0	0	0	0	0	0	145	37	24	74	43	74	p2	727.0	58.8
15	physik	6	0	0	0	0	0	0	264	24	37	74	58	74	p2	974.8	56.7
16	physik	6	0	0	0	0	0	0	303	8	24	74	62	74	p2	1035.1	58.8
17	physik	6	0	0	0	0	0	0	377	26	8	74	61	74	p2	1024.6	59.8
18	physik	6	0	0	0	0	0	0	323	31	26	74	66	74	p2	1096.7	54.7
19	physik	6	0	0	0	0	0	0	335	27	31	74	75	74	p2	1230.9	55.0
20	physik	6	0	0	0	0	0	0	179	33	27	74	80	74	p2	1325.7	54.8
21	physik	6	0	0	0	0	0	0	199	28	33	74	83	74	p2	1381.6	54.7
22	physik	6	0	0	0	0	0	0	285	23	28	74	92	74	p2	1497.5	47.1
23	physik	6	0	0	0	0	0	0	150	104	23	74	95	74	p2	1541.2	50.1
24	physik	6	0	0	0	0	0	0	86	37	104	74	110	74	p2	252.1	155.1
25	physik	6	0	0	0	0	0	0	429	10	37	74	102	74	p2	147.2	150.7
26	physik	6	0	0	0	0	0	0	254	25	10	74	101	74	p2	130.6	149.0
27	physik	6	0	0	0	0	0	0	225	23	25	74	106	74	p2	195.2	148.3
28	physik	6	0	0	0	0	0	0	443	26	23	74	110	74	p2	258.2	148.3
29	physik	6	0	0	0	0	0	0	251	27	26	74	117	74	p2	346.5	147.8
30	physik	6	0	0	0	0	0	0	317	37	27	74	125	74	p2	492.2	151.9
31	physik	6	0	0	0	0	0	0	129	39	37	74	130	74	p2	577.2	155.7
32	physik	6	0	0	0	0	0	0	229	27	39	74	138	74	p2	693.9	155.1
33	physik	6	0	0	0	0	0	0	209	43	27	74	140	74	p2	723.8	156.1
34	physik	6	0	0	0	0	0	0	175	18	43	74	152	74	p2	897.3	157.7
35	physik	6	0	0	0	0	0	0	365	26	18	74	150	74	p2	868.0	154.7
36	physik	6	0	0	0	0	0	0	190	50	26	74	141	74	p2	733.6	157.9
37	physik	6	0	0	0	0	0	0	243	27	50	74	161	74	p2	1047.9	161.5
38	physik	6	0	0	0	0	0	0	187	25	27	74	168	74	p2	1165.2	163.0
39	physik	6	0	0	0	0	0	0	418	26	25	74	171	74	p2	1227.5	165.8
40	physik	6	0	0	0	0	0	0	700	32	26	74	182	74	p2	1392.2	155.6
41	physik	6	0	0	0	0	0	0	316	22	32	74	191	74	p2	1523.4	146.1
42	physik	6	0	0	0	0	0	0	174	107	22	74	194	74	p2	1563.5	145.7
43	physik	6	0	0	0	0	0	0	85	38	107	74	210	74	p2	281.7	234.8
44	physik	6	0	0	0	0	0	0	564	37	38	74	202	74	p2	149.2	244.3
45	physik	6	0	0	0	0	0	0	301	25	37	74	211	74	p2	307.7	243.0
46	physik	6	0	0	0	0	0	0	165	22	25	74	215	74	p2	386.5	243.7
47	physik	6	0	0	0	0	0	0	249	33	22	74	211	74	p2	312.5	247.5
48	physik	6	0	0	0	0	0	0	314	23	33	74	216	74	p2	388.1	245.0
49	physik	6	0	0	0	0	0	0	164	32	23	74	218	74	p2	428.7	244.5
50	physik	6	0	0	0	0	0	0	406	27	32	74	228	74	p2	583.1	245.4
51	physik	6	0	0	0	0	0	0	285	22	27	74	234	74	p2	665.5	245.1
52	physik	6	0	0	0	0	0	0	325	30	22	74	231	74	p2	613.3	247.2
53	physik	6	0	0	0	0	0	0	218	31	30	74	240	74	p2	764.6	242.4
54	physik	6	0	0	0	0	0	0	453	16	31	74	244	74	p2	823.6	241.9
55	physik	6	0	0	0	0	0	0	512	25	16	74	242	74	p2	798.1	242.7
56	physik	6	0	0	0	0	0	0	226	31	25	74	248	74	p2	878.4	239.6
57	physik	6	0	0	0	0	0	0	277	8	31	74	257	74	p2	1026.8	245.7
58	physik	6	0	0	0	0	0	0	401	15	8	74	256	74	p2	1005.4	250.4
59	physik	6	0	0	0	0	0	0	292	28	15	74	253	74	p2	970.5	255.0
60	physik	6	0	0	0	0	0	0	391	22	28	74	258	74	p2	1035.2	256.4
61	physik	6	0	0	0	0	0	0	96	26	22	74	262	74	p2	1095.4	254.0
62	physik	6	0	0	0	0	0	0	223	23	26	74	269	74	p2	1207.4	253.7
63	physik	6	0	0	0	0	0	0	249	49	23	74	272	74	p2	1265.7	251.9
64	physik	6	0	0	0	0	0	0	314	37	49	74	284	74	p2	1450.2	244.8
65	physik	6	0	0	0	0	0	0	94	106	37	74	291	74	p2	1557.4	242.3
66	physik	6	0	0	0	0	0	0	77	35	106	74	301	74	p2	203.9	330.1
67	physik	6	0	0	0	0	0	0	354	28	35	74	297	74	p2	132.7	328.0
68	physik	6	0	0	0	0	0	0	513	42	28	74	307	74	p2	294.0	316.0
