fixation_index	text_domain	trial	acc_bq_1	acc_bq_2	acc_bq_3	acc_tq_1	acc_tq_2	acc_tq_3	fixation_duration	next_saccade_duration	previous_saccade_duration	version	aoi	reader_id	item_id	fixation_position_x	fixation_position_y
1	bio	8	1	1	1	1	1	1	137	38	.	62	3	62	b2	108.2	55.6
2	bio	8	1	1	1	1	1	1	170	36	38	62	9	62	b2	206.1	58.1
3	bio	8	1	1	1	1	1	1	209	23	36	62	16	62	b2	318.9	47.8
4	bio	8	1	1	1	1	1	1	221	28	23	62	24	62	b2	451.2	43.3
5	bio	8	1	1	1	1	1	1	158	34	28	62	17	62	b2	339.1	24.7
6	bio	8	1	1	1	1	1	1	312	27	34	62	14	62	b2	275.8	27.1
7	bio	8	1	1	1	1	1	1	210	28	27	62	21	62	b2	404.1	32.0
8	bio	8	1	1	1	1	1	1	225	38	28	62	29	62	b2	534.2	33.8
9	bio	8	1	1	1	1	1	1	199	26	38	62	36	62	b2	661.9	40.5
10	bio	8	1	1	1	1	1	1	171	41	26	62	43	62	b2	775.2	44.3
11	bio	8	1	1	1	1	1	1	235	30	41	62	54	62	b2	949.6	53.0
12	bio	8	1	1	1	1	1	1	158	25	30	62	62	62	b2	1078.8	60.3
13	bio	8	1	1	1	1	1	1	167	22	25	62	71	62	b2	1201.3	62.4
14	bio	8	1	1	1	1	1	1	149	32	22	62	68	62	b2	1159.4	54.9
15	bio	8	1	1	1	1	1	1	215	25	32	62	77	62	b2	1318.6	50.1
16	bio	8	1	1	1	1	1	1	228	26	25	62	83	62	b2	1410.7	58.6
17	bio	8	1	1	1	1	1	1	278	18	26	62	89	62	b2	1517.2	51.6
18	bio	8	1	1	1	1	1	1	142	28	18	62	93	62	b2	1564.4	60.0
19	bio	8	1	1	1	1	1	1	144	17	28	62	84	62	b2	1429.0	64.4
20	bio	8	1	1	1	1	1	1	157	31	17	62	82	62	b2	1394.2	63.8
21	bio	8	1	1	1	1	1	1	250	123	31	62	92	62	b2	1550.8	58.0
22	bio	8	1	1	1	1	1	1	316	26	123	62	100	62	b2	174.4	135.4
23	bio	8	1	1	1	1	1	1	210	36	26	62	109	62	b2	306.5	124.7
24	bio	8	1	1	1	1	1	1	188	39	36	62	118	62	b2	445.5	125.5
25	bio	8	1	1	1	1	1	1	246	24	39	62	126	62	b2	584.0	118.2
26	bio	8	1	1	1	1	1	1	237	26	24	62	125	62	b2	562.8	118.8
27	bio	8	1	1	1	1	1	1	264	27	26	62	130	62	b2	662.6	118.8
28	bio	8	1	1	1	1	1	1	190	26	27	62	137	62	b2	767.3	120.7
29	bio	8	1	1	1	1	1	1	143	29	26	62	142	62	b2	850.1	131.8
30	bio	8	1	1	1	1	1	1	252	25	29	62	149	62	b2	964.4	144.1
31	bio	8	1	1	1	1	1	1	458	29	25	62	156	62	b2	1092.4	150.7
32	bio	8	1	1	1	1	1	1	323	27	29	62	164	62	b2	1219.0	157.1
33	bio	8	1	1	1	1	1	1	304	29	27	62	171	62	b2	1342.9	166.9
34	bio	8	1	1	1	1	1	1	184	35	29	62	180	62	b2	1483.3	159.1
35	bio	8	1	1	1	1	1	1	264	27	35	62	175	62	b2	1418.5	169.0
36	bio	8	1	1	1	1	1	1	108	120	27	62	181	62	b2	1503.8	157.6
37	bio	8	1	1	1	1	1	1	125	29	120	62	189	62	b2	172.9	231.6
