fixation_index	text_domain	trial	acc_bq_1	acc_bq_2	acc_bq_3	acc_tq_1	acc_tq_2	acc_tq_3	fixation_duration	next_saccade_duration	previous_saccade_duration	version	aoi	reader_id	item_id	fixation_position_x	fixation_position_y
1	physik	2	0	0	1	1	1	1	287	18	.	17	.	17	p2	80.5	51.7
2	physik	2	0	0	1	1	1	1	423	17	18	17	4	17	p2	121.7	54.5
3	physik	2	0	0	1	1	1	1	243	13	17	17	1	17	p2	91.7	49.6
4	physik	2	0	0	1	1	1	1	391	11	13	17	4	17	p2	125.2	35.9
5	physik	2	0	0	1	1	1	1	341	8	11	17	6	17	p2	159.6	35.3
6	physik	2	0	0	1	1	1	1	201	22	8	17	8	17	p2	181.1	28.4
7	physik	2	0	0	1	1	1	1	129	39	22	17	.	17	p2	243.5	18.6
8	physik	2	0	0	1	1	1	1	189	19	39	17	21	17	p2	384.4	43.2
9	physik	2	0	0	1	1	1	1	156	25	19	17	23	17	p2	427.2	46.1
10	physik	2	0	0	1	1	1	1	343	27	25	17	28	17	p2	509.9	50.4
11	physik	2	0	0	1	1	1	1	274	22	27	17	34	17	p2	608.7	42.4
12	physik	2	0	0	1	1	1	1	351	22	22	17	38	17	p2	659.2	38.3
13	physik	2	0	0	1	1	1	1	272	17	22	17	41	17	p2	709.7	38.6
14	physik	2	0	0	1	1	1	1	161	21	17	17	44	17	p2	754.0	44.7
15	physik	2	0	0	1	1	1	1	320	126	21	17	48	17	p2	819.6	41.7
16	physik	2	0	0	1	1	1	1	128	20	126	17	55	17	p2	923.3	48.1
17	physik	2	0	0	1	1	1	1	179	24	20	17	57	17	p2	961.3	46.4
18	physik	2	0	0	1	1	1	1	561	20	24	17	61	17	p2	1031.8	50.8
19	physik	2	0	0	1	1	1	1	169	22	20	17	65	17	p2	1075.0	49.8
20	physik	2	0	0	1	1	1	1	227	27	22	17	70	17	p2	1154.9	49.9
21	physik	2	0	0	1	1	1	1	449	22	27	17	76	17	p2	1249.3	55.6
22	physik	2	0	0	1	1	1	1	811	31	22	17	79	17	p2	1307.6	52.8
23	physik	2	0	0	1	1	1	1	300	22	31	17	83	17	p2	1371.3	51.2
24	physik	2	0	0	1	1	1	1	440	20	22	17	80	17	p2	1315.3	55.2
25	physik	2	0	0	1	1	1	1	171	28	20	17	82	17	p2	1363.0	52.5
26	physik	2	0	0	1	1	1	1	159	23	28	17	90	17	p2	1476.2	53.2
27	physik	2	0	0	1	1	1	1	93	105	23	17	95	17	p2	1547.4	53.3
28	physik	2	0	0	1	1	1	1	94	28	105	17	111	17	p2	272.2	110.0
29	physik	2	0	0	1	1	1	1	243	25	28	17	102	17	p2	136.1	135.2
30	physik	2	0	0	1	1	1	1	287	30	25	17	107	17	p2	216.9	128.6
31	physik	2	0	0	1	1	1	1	343	17	30	17	116	17	p2	332.7	126.7
32	physik	2	0	0	1	1	1	1	249	228	17	17	118	17	p2	368.1	129.2
33	physik	2	0	0	1	1	1	1	365	27	228	17	130	17	p2	568.7	132.7
34	physik	2	0	0	1	1	1	1	380	20	27	17	136	17	p2	653.6	130.0
35	physik	2	0	0	1	1	1	1	231	21	20	17	139	17	p2	705.0	131.6
36	physik	2	0	0	1	1	1	1	104	28	21	17	143	17	p2	754.5	130.3
37	physik	2	0	0	1	1	1	1	499	20	28	17	151	17	p2	886.4	125.1
38	physik	2	0	0	1	1	1	1	332	19	20	17	155	17	p2	937.7	130.7
39	physik	2	0	0	1	1	1	1	212	205	19	17	152	17	p2	892.0	127.2
40	physik	2	0	0	1	1	1	1	371	28	205	17	152	17	p2	903.6	126.6
41	physik	2	0	0	1	1	1	1	536	22	28	17	160	17	p2	1027.7	133.8
42	physik	2	0	0	1	1	1	1	199	23	22	17	163	17	p2	1076.8	138.9
43	physik	2	0	0	1	1	1	1	191	19	23	17	167	17	p2	1152.6	143.4
44	physik	2	0	0	1	1	1	1	153	21	19	17	170	17	p2	1200.0	150.5
45	physik	2	0	0	1	1	1	1	190	29	21	17	173	17	p2	1249.3	147.6
46	physik	2	0	0	1	1	1	1	269	25	29	17	182	17	p2	1381.9	138.4
47	physik	2	0	0	1	1	1	1	302	30	25	17	177	17	p2	1302.5	138.2
48	physik	2	0	0	1	1	1	1	186	24	30	17	184	17	p2	1430.1	133.5
49	physik	2	0	0	1	1	1	1	202	19	24	17	190	17	p2	1515.7	126.4
50	physik	2	0	0	1	1	1	1	422	22	19	17	194	17	p2	1572.0	128.9
51	physik	2	0	0	1	1	1	1	186	23	22	17	189	17	p2	1504.0	131.8
52	physik	2	0	0	1	1	1	1	204	15	23	17	195	17	p2	1588.3	130.5
53	physik	2	0	0	1	1	1	1	70	111	15	17	.	17	p2	1610.8	132.2
54	physik	2	0	0	1	1	1	1	110	24	111	17	208	17	p2	238.5	188.5
55	physik	2	0	0	1	1	1	1	366	22	24	17	203	17	p2	166.6	211.3
56	physik	2	0	0	1	1	1	1	357	25	22	17	207	17	p2	221.4	209.3
57	physik	2	0	0	1	1	1	1	407	29	25	17	201	17	p2	143.7	214.9
58	physik	2	0	0	1	1	1	1	151	16	29	17	209	17	p2	259.5	219.8
59	physik	2	0	0	1	1	1	1	651	28	16	17	210	17	p2	291.9	218.2
60	physik	2	0	0	1	1	1	1	186	86	28	17	203	17	p2	172.6	216.0
61	physik	2	0	0	1	1	1	1	107	43	86	17	179	17	p2	1337.0	131.0
62	physik	2	0	0	1	1	1	1	431	25	43	17	190	17	p2	1510.4	126.7
63	physik	2	0	0	1	1	1	1	223	113	25	17	196	17	p2	1593.7	134.4
64	physik	2	0	0	1	1	1	1	287	29	113	17	205	17	p2	196.2	222.8
65	physik	2	0	0	1	1	1	1	333	22	29	17	211	17	p2	297.1	216.5
66	physik	2	0	0	1	1	1	1	517	24	22	17	214	17	p2	356.0	209.4
67	physik	2	0	0	1	1	1	1	505	42	24	17	218	17	p2	425.6	207.9
68	physik	2	0	0	1	1	1	1	428	27	42	17	231	17	p2	616.1	216.4
69	physik	2	0	0	1	1	1	1	174	18	27	17	240	17	p2	776.3	199.6
70	physik	2	0	0	1	1	1	1	354	25	18	17	243	17	p2	810.6	207.6
71	physik	2	0	0	1	1	1	1	260	32	25	17	238	17	p2	738.7	218.1
72	physik	2	0	0	1	1	1	1	191	33	32	17	227	17	p2	566.9	225.1
73	physik	2	0	0	1	1	1	1	223	26	33	17	218	17	p2	423.4	222.3
74	physik	2	0	0	1	1	1	1	280	28	26	17	213	17	p2	341.3	221.6
75	physik	2	0	0	1	1	1	1	87	40	28	17	220	17	p2	453.2	217.1
76	physik	2	0	0	1	1	1	1	323	49	40	17	230	17	p2	601.9	221.6
77	physik	2	0	0	1	1	1	1	254	24	49	17	242	17	p2	806.5	217.7
78	physik	2	0	0	1	1	1	1	287	27	24	17	249	17	p2	902.6	220.8
79	physik	2	0	0	1	1	1	1	301	25	27	17	240	17	p2	770.6	216.2
80	physik	2	0	0	1	1	1	1	385	21	25	17	244	17	p2	830.2	211.1
81	physik	2	0	0	1	1	1	1	214	41	21	17	247	17	p2	872.3	211.3
82	physik	2	0	0	1	1	1	1	493	6	41	17	257	17	p2	1028.5	219.2
83	physik	2	0	0	1	1	1	1	261	17	6	17	256	17	p2	1015.1	223.2
84	physik	2	0	0	1	1	1	1	267	24	17	17	260	17	p2	1071.1	226.4
85	physik	2	0	0	1	1	1	1	147	27	24	17	265	17	p2	1138.1	225.4
86	physik	2	0	0	1	1	1	1	320	21	27	17	271	17	p2	1252.4	224.0
87	physik	2	0	0	1	1	1	1	213	24	21	17	275	17	p2	1307.5	227.5
88	physik	2	0	0	1	1	1	1	164	50	24	17	269	17	p2	1207.9	232.3
89	physik	2	0	0	1	1	1	1	243	9	50	17	284	17	p2	1445.4	229.6
90	physik	2	0	0	1	1	1	1	312	19	9	17	283	17	p2	1425.2	229.8
91	physik	2	0	0	1	1	1	1	266	27	19	17	286	17	p2	1476.8	230.1
92	physik	2	0	0	1	1	1	1	130	102	27	17	292	17	p2	1575.7	227.6
93	physik	2	0	0	1	1	1	1	103	57	102	17	315	17	p2	435.5	301.0
94	physik	2	0	0	1	1	1	1	428	26	57	17	296	17	p2	119.0	318.1
95	physik	2	0	0	1	1	1	1	522	24	26	17	302	17	p2	210.7	308.6
96	physik	2	0	0	1	1	1	1	148	21	24	17	306	17	p2	277.7	302.3
97	physik	2	0	0	1	1	1	1	278	18	21	17	309	17	p2	336.4	306.2
98	physik	2	0	0	1	1	1	1	143	19	18	17	311	17	p2	378.4	304.0
99	physik	2	0	0	1	1	1	1	304	19	19	17	315	17	p2	439.7	302.0
100	physik	2	0	0	1	1	1	1	322	26	19	17	319	17	p2	492.2	306.7
101	physik	2	0	0	1	1	1	1	93	35	26	17	325	17	p2	592.8	302.2
102	physik	2	0	0	1	1	1	1	209	30	35	17	313	17	p2	402.7	313.1
103	physik	2	0	0	1	1	1	1	261	26	30	17	325	17	p2	597.5	302.5
104	physik	2	0	0	1	1	1	1	284	33	26	17	331	17	p2	694.2	309.5
105	physik	2	0	0	1	1	1	1	419	19	33	17	342	17	p2	862.3	302.1
106	physik	2	0	0	1	1	1	1	158	26	19	17	345	17	p2	898.9	308.1
107	physik	2	0	0	1	1	1	1	110	176	26	17	352	17	p2	1004.4	313.4
108	physik	2	0	0	1	1	1	1	386	25	176	17	351	17	p2	1002.8	304.1
109	physik	2	0	0	1	1	1	1	205	22	25	17	357	17	p2	1103.7	304.8
110	physik	2	0	0	1	1	1	1	357	21	22	17	361	17	p2	1161.3	308.9
111	physik	2	0	0	1	1	1	1	540	25	21	17	357	17	p2	1102.2	309.0
112	physik	2	0	0	1	1	1	1	190	197	25	17	361	17	p2	1167.0	307.7
113	physik	2	0	0	1	1	1	1	349	23	197	17	357	17	p2	1101.5	302.0
114	physik	2	0	0	1	1	1	1	169	22	23	17	362	17	p2	1175.0	291.9
115	physik	2	0	0	1	1	1	1	313	30	22	17	366	17	p2	1233.1	316.0
116	physik	2	0	0	1	1	1	1	327	29	30	17	375	17	p2	1371.0	314.6
117	physik	2	0	0	1	1	1	1	225	26	29	17	382	17	p2	1500.6	308.1
118	physik	2	0	0	1	1	1	1	373	26	26	17	376	17	p2	1383.1	312.3
119	physik	2	0	0	1	1	1	1	344	14	26	17	380	17	p2	1467.7	320.4
120	physik	2	0	0	1	1	1	1	190	19	14	17	382	17	p2	1501.6	321.1
121	physik	2	0	0	1	1	1	1	140	102	19	17	386	17	p2	1554.7	315.3
122	physik	2	0	0	1	1	1	1	106	41	102	17	407	17	p2	352.8	359.9
123	physik	2	0	0	1	1	1	1	162	9	41	17	395	17	p2	163.2	394.6
124	physik	2	0	0	1	1	1	1	243	44	9	17	394	17	p2	143.2	394.6
125	physik	2	0	0	1	1	1	1	246	25	44	17	405	17	p2	319.9	388.5
126	physik	2	0	0	1	1	1	1	267	24	25	17	400	17	p2	244.6	387.6
127	physik	2	0	0	1	1	1	1	241	27	24	17	404	17	p2	316.5	390.4
128	physik	2	0	0	1	1	1	1	608	28	27	17	413	17	p2	450.7	389.1
129	physik	2	0	0	1	1	1	1	392	25	28	17	421	17	p2	576.3	387.7
130	physik	2	0	0	1	1	1	1	263	26	25	17	426	17	p2	667.4	391.1
131	physik	2	0	0	1	1	1	1	179	25	26	17	433	17	p2	778.3	385.3
132	physik	2	0	0	1	1	1	1	174	33	25	17	439	17	p2	868.9	402.4
133	physik	2	0	0	1	1	1	1	356	15	33	17	442	17	p2	931.2	391.9
134	physik	2	0	0	1	1	1	1	309	32	15	17	445	17	p2	969.8	389.8
135	physik	2	0	0	1	1	1	1	514	23	32	17	457	17	p2	1167.4	401.9
136	physik	2	0	0	1	1	1	1	187	27	23	17	460	17	p2	1225.6	400.5
137	physik	2	0	0	1	1	1	1	273	19	27	17	466	17	p2	1328.8	398.9
138	physik	2	0	0	1	1	1	1	203	39	19	17	464	17	p2	1291.6	396.5
139	physik	2	0	0	1	1	1	1	264	22	39	17	475	17	p2	1481.5	392.0
140	physik	2	0	0	1	1	1	1	417	23	22	17	480	17	p2	1559.6	395.1
141	physik	2	0	0	1	1	1	1	218	13	23	17	475	17	p2	1486.1	394.2
142	physik	2	0	0	1	1	1	1	168	20	13	17	477	17	p2	1515.9	395.2
143	physik	2	0	0	1	1	1	1	172	109	20	17	481	17	p2	1569.2	395.3
