fixation_index	text_domain	trial	acc_bq_1	acc_bq_2	acc_bq_3	acc_tq_1	acc_tq_2	acc_tq_3	fixation_duration	next_saccade_duration	previous_saccade_duration	version	aoi	reader_id	item_id	fixation_position_x	fixation_position_y
1	physik	12	1	0	1	0	1	0	191	17	.	5	1	5	p0	81.9	43.0
2	physik	12	1	0	1	0	1	0	258	23	17	5	3	5	p0	122.4	28.0
3	physik	12	1	0	1	0	1	0	192	23	23	5	7	5	p0	183.2	24.2
4	physik	12	1	0	1	0	1	0	173	23	23	5	12	5	p0	255.6	24.2
5	physik	12	1	0	1	0	1	0	160	23	23	5	16	5	p0	331.7	23.6
6	physik	12	1	0	1	0	1	0	256	22	23	5	23	5	p0	441.1	23.4
7	physik	12	1	0	1	0	1	0	270	23	22	5	27	5	p0	510.7	32.9
8	physik	12	1	0	1	0	1	0	151	48	23	5	25	5	p0	471.0	44.3
9	physik	12	1	0	1	0	1	0	190	16	48	5	40	5	p0	711.3	45.2
10	physik	12	1	0	1	0	1	0	327	23	16	5	38	5	p0	688.6	42.8
11	physik	12	1	0	1	0	1	0	263	35	23	5	43	5	p0	765.4	48.2
12	physik	12	1	0	1	0	1	0	289	16	35	5	53	5	p0	913.9	51.7
13	physik	12	1	0	1	0	1	0	275	24	16	5	52	5	p0	898.1	56.3
14	physik	12	1	0	1	0	1	0	178	22	24	5	57	5	p0	963.8	53.7
15	physik	12	1	0	1	0	1	0	195	22	22	5	60	5	p0	1010.2	51.7
16	physik	12	1	0	1	0	1	0	322	28	22	5	65	5	p0	1095.8	49.7
17	physik	12	1	0	1	0	1	0	332	21	28	5	71	5	p0	1192.3	40.3
18	physik	12	1	0	1	0	1	0	390	23	21	5	75	5	p0	1262.0	42.9
19	physik	12	1	0	1	0	1	0	211	21	23	5	81	5	p0	1364.3	40.9
20	physik	12	1	0	1	0	1	0	155	27	21	5	84	5	p0	1419.9	48.7
21	physik	12	1	0	1	0	1	0	503	25	27	5	91	5	p0	1521.4	54.0
22	physik	12	1	0	1	0	1	0	322	106	25	5	96	5	p0	1582.3	50.8
23	physik	12	1	0	1	0	1	0	126	77	106	5	35	5	p0	631.0	92.5
24	physik	12	1	0	1	0	1	0	149	34	77	5	103	5	p0	179.7	109.2
25	physik	12	1	0	1	0	1	0	508	23	34	5	100	5	p0	126.0	129.8
26	physik	12	1	0	1	0	1	0	195	21	23	5	104	5	p0	193.1	134.0
27	physik	12	1	0	1	0	1	0	260	24	21	5	103	5	p0	179.6	138.6
28	physik	12	1	0	1	0	1	0	198	23	24	5	107	5	p0	247.6	130.3
29	physik	12	1	0	1	0	1	0	490	22	23	5	110	5	p0	313.3	125.6
30	physik	12	1	0	1	0	1	0	289	28	22	5	116	5	p0	388.9	119.7
31	physik	12	1	0	1	0	1	0	771	27	28	5	122	5	p0	496.6	119.4
32	physik	12	1	0	1	0	1	0	218	23	27	5	128	5	p0	591.4	139.1
33	physik	12	1	0	1	0	1	0	171	24	23	5	133	5	p0	671.3	144.7
34	physik	12	1	0	1	0	1	0	356	23	24	5	139	5	p0	784.6	142.9
35	physik	12	1	0	1	0	1	0	195	19	23	5	142	5	p0	846.8	144.2
36	physik	12	1	0	1	0	1	0	58	135	19	5	146	5	p0	916.0	138.8
37	physik	12	1	0	1	0	1	0	373	30	135	5	150	5	p0	962.0	122.4
38	physik	12	1	0	1	0	1	0	182	23	30	5	155	5	p0	1048.6	128.0
39	physik	12	1	0	1	0	1	0	116	83	23	5	159	5	p0	1103.8	127.9
40	physik	12	1	0	1	0	1	0	157	26	83	5	161	5	p0	1148.7	120.9
41	physik	12	1	0	1	0	1	0	362	38	26	5	167	5	p0	1241.7	124.5
42	physik	12	1	0	1	0	1	0	513	28	38	5	177	5	p0	1384.4	133.4
43	physik	12	1	0	1	0	1	0	283	18	28	5	184	5	p0	1500.8	139.9
44	physik	12	1	0	1	0	1	0	160	16	18	5	187	5	p0	1550.4	135.7
45	physik	12	1	0	1	0	1	0	294	25	16	5	185	5	p0	1525.8	132.5
