fixation_index	text_domain	trial	acc_bq_1	acc_bq_2	acc_bq_3	acc_tq_1	acc_tq_2	acc_tq_3	fixation_duration	next_saccade_duration	previous_saccade_duration	version	aoi	reader_id	item_id	fixation_position_x	fixation_position_y
1	bio	7	0	0	1	0	1	1	281	40	.	35	1	35	b3	87.0	49.3
2	bio	7	0	0	1	0	1	1	142	37	40	35	14	35	b3	287.2	42.0
3	bio	7	0	0	1	0	1	1	183	21	37	35	6	35	b3	152.5	42.1
4	bio	7	0	0	1	0	1	1	170	15	21	35	10	35	b3	212.1	37.9
5	bio	7	0	0	1	0	1	1	109	35	15	35	7	35	b3	164.3	39.6
6	bio	7	0	0	1	0	1	1	205	20	35	35	17	35	b3	319.6	33.2
7	bio	7	0	0	1	0	1	1	202	29	20	35	21	35	b3	393.0	35.8
8	bio	7	0	0	1	0	1	1	190	7	29	35	28	35	b3	505.8	37.0
9	bio	7	0	0	1	0	1	1	114	36	7	35	27	35	b3	493.1	41.7
10	bio	7	0	0	1	0	1	1	247	35	36	35	37	35	b3	656.9	38.6
11	bio	7	0	0	1	0	1	1	201	23	35	35	46	35	b3	822.3	38.1
12	bio	7	0	0	1	0	1	1	199	10	23	35	51	35	b3	901.3	39.9
13	bio	7	0	0	1	0	1	1	184	43	10	35	50	35	b3	881.2	41.6
14	bio	7	0	0	1	0	1	1	202	21	43	35	61	35	b3	1063.1	42.1
15	bio	7	0	0	1	0	1	1	374	14	21	35	57	35	b3	995.3	36.7
16	bio	7	0	0	1	0	1	1	126	26	14	35	59	35	b3	1024.0	37.8
17	bio	7	0	0	1	0	1	1	195	31	26	35	63	35	b3	1111.2	44.4
18	bio	7	0	0	1	0	1	1	285	48	31	35	70	35	b3	1227.0	47.3
19	bio	7	0	0	1	0	1	1	271	11	48	35	82	35	b3	1422.0	53.2
20	bio	7	0	0	1	0	1	1	67	43	11	35	84	35	b3	1439.8	58.2
21	bio	7	0	0	1	0	1	1	235	18	43	35	65	35	b3	1157.0	41.3
