fixation_index	text_domain	trial	acc_bq_1	acc_bq_2	acc_bq_3	acc_tq_1	acc_tq_2	acc_tq_3	fixation_duration	next_saccade_duration	previous_saccade_duration	version	aoi	reader_id	item_id	fixation_position_x	fixation_position_y
1	bio	4	1	1	1	1	1	1	175	25	24	67	4	67	b2	122.8	73.9
2	bio	4	1	1	1	1	1	1	151	14	25	67	.	67	b2	165.2	0.3
3	bio	4	1	1	1	1	1	1	132	26	14	67	.	67	b2	139.4	-0.5
4	bio	4	1	1	1	1	1	1	159	34	26	67	.	67	b2	248.1	12.5
5	bio	4	1	1	1	1	1	1	204	26	34	67	22	67	b2	423.7	21.4
6	bio	4	1	1	1	1	1	1	180	28	26	67	27	67	b2	511.9	27.8
7	bio	4	1	1	1	1	1	1	201	28	28	67	33	67	b2	603.2	29.5
8	bio	4	1	1	1	1	1	1	175	25	28	67	39	67	b2	703.4	21.4
9	bio	4	1	1	1	1	1	1	165	27	25	67	44	67	b2	780.9	24.1
10	bio	4	1	1	1	1	1	1	156	31	27	67	49	67	b2	883.8	24.1
11	bio	4	1	1	1	1	1	1	233	29	31	67	58	67	b2	1003.8	43.8
12	bio	4	1	1	1	1	1	1	164	36	29	67	64	67	b2	1105.2	55.6
13	bio	4	1	1	1	1	1	1	225	20	36	67	75	67	b2	1280.2	64.8
14	bio	4	1	1	1	1	1	1	62	28	20	67	76	67	b2	1299.9	55.9
15	bio	4	1	1	1	1	1	1	174	51	28	67	.	67	b2	1411.5	13.0
16	bio	4	1	1	1	1	1	1	129	28	51	67	.	67	b2	1502.2	-283.9
17	bio	4	1	1	1	1	1	1	165	15	28	67	.	67	b2	1360.3	18.5
18	bio	4	1	1	1	1	1	1	249	34	15	67	78	67	b2	1327.5	33.2
19	bio	4	1	1	1	1	1	1	203	232	34	67	.	67	b2	1490.1	-294.8
20	bio	4	1	1	1	1	1	1	56	169	232	67	.	67	b2	1549.7	20.8
21	bio	4	1	1	1	1	1	1	81	31	169	67	110	67	b2	331.6	120.6
22	bio	4	1	1	1	1	1	1	340	28	31	67	100	67	b2	176.5	119.4
