fixation_index	text_domain	trial	acc_bq_1	acc_bq_2	acc_bq_3	acc_tq_1	acc_tq_2	acc_tq_3	fixation_duration	next_saccade_duration	previous_saccade_duration	version	aoi	reader_id	item_id	fixation_position_x	fixation_position_y
1	bio	3	1	0	1	0	1	1	269	27	.	66	1	66	b4	92.6	72.8
2	bio	3	1	0	1	0	1	1	204	12	27	66	8	66	b4	195.4	63.2
3	bio	3	1	0	1	0	1	1	176	20	12	66	10	66	b4	225.6	64.1
4	bio	3	1	0	1	0	1	1	290	36	20	66	15	66	b4	289.2	66.9
5	bio	3	1	0	1	0	1	1	297	29	36	66	2	66	b4	97.8	75.3
6	bio	3	1	0	1	0	1	1	265	32	29	66	12	66	b4	260.0	68.4
7	bio	3	1	0	1	0	1	1	260	5	32	66	27	66	b4	472.4	56.4
8	bio	3	1	0	1	0	1	1	189	21	5	66	28	66	b4	492.3	56.3
9	bio	3	1	0	1	0	1	1	137	26	21	66	32	66	b4	555.0	55.1
10	bio	3	1	0	1	0	1	1	233	30	26	66	40	66	b4	689.6	49.3
11	bio	3	1	0	1	0	1	1	202	21	30	66	47	66	b4	803.6	47.2
12	bio	3	1	0	1	0	1	1	198	19	21	66	51	66	b4	850.4	46.4
13	bio	3	1	0	1	0	1	1	239	53	19	66	55	66	b4	910.4	47.1
14	bio	3	1	0	1	0	1	1	226	19	53	66	38	66	b4	653.1	48.5
15	bio	3	1	0	1	0	1	1	97	54	19	66	40	66	b4	692.3	47.9
16	bio	3	1	0	1	0	1	1	275	32	54	66	65	66	b4	1069.4	52.2
17	bio	3	1	0	1	0	1	1	313	36	32	66	74	66	b4	1203.7	44.5
18	bio	3	1	0	1	0	1	1	244	34	36	66	85	66	b4	1368.7	40.6
19	bio	3	1	0	1	0	1	1	191	44	34	66	.	66	b4	1487.3	19.3
20	bio	3	1	0	1	0	1	1	136	120	44	66	.	66	b4	1607.9	-66.4
21	bio	3	1	0	1	0	1	1	103	34	120	66	106	66	b4	191.9	136.4
22	bio	3	1	0	1	0	1	1	309	30	34	66	103	66	b4	139.6	156.2
23	bio	3	1	0	1	0	1	1	219	24	30	66	111	66	b4	275.8	142.2
24	bio	3	1	0	1	0	1	1	303	34	24	66	116	66	b4	365.3	131.0
25	bio	3	1	0	1	0	1	1	234	27	34	66	127	66	b4	544.8	131.3
26	bio	3	1	0	1	0	1	1	164	26	27	66	134	66	b4	661.4	124.1
27	bio	3	1	0	1	0	1	1	169	33	26	66	139	66	b4	748.0	124.5
28	bio	3	1	0	1	0	1	1	228	29	33	66	149	66	b4	921.3	126.6
29	bio	3	1	0	1	0	1	1	206	30	29	66	155	66	b4	1026.4	130.1
30	bio	3	1	0	1	0	1	1	234	32	30	66	161	66	b4	1123.8	130.6
31	bio	3	1	0	1	0	1	1	176	34	32	66	170	66	b4	1241.9	132.0
32	bio	3	1	0	1	0	1	1	238	31	34	66	182	66	b4	1449.8	141.6
33	bio	3	1	0	1	0	1	1	84	6	31	66	190	66	b4	1584.0	133.2
34	bio	3	1	0	1	0	1	1	88	112	6	66	190	66	b4	1582.8	123.7
35	bio	3	1	0	1	0	1	1	106	14	112	66	197	66	b4	143.3	260.0
36	bio	3	1	0	1	0	1	1	268	30	14	66	196	66	b4	124.1	244.8
