fixation_index	text_domain	trial	acc_bq_1	acc_bq_2	acc_bq_3	acc_tq_1	acc_tq_2	acc_tq_3	fixation_duration	next_saccade_duration	previous_saccade_duration	version	aoi	reader_id	item_id	fixation_position_x	fixation_position_y
1	physik	11	1	0	0	1	1	0	243	17	.	31	1	31	p4	80.7	60.7
2	physik	11	1	0	0	1	1	0	123	43	17	31	4	31	p4	129.8	53.4
3	physik	11	1	0	0	1	1	0	151	24	43	31	12	31	p4	278.6	54.1
4	physik	11	1	0	0	1	1	0	269	36	24	31	17	31	p4	355.4	59.4
5	physik	11	1	0	0	1	1	0	209	6	36	31	31	31	p4	567.8	50.6
6	physik	11	1	0	0	1	1	0	146	36	6	31	30	31	p4	551.3	53.3
7	physik	11	1	0	0	1	1	0	184	26	36	31	43	31	p4	749.4	48.5
8	physik	11	1	0	0	1	1	0	179	19	26	31	50	31	p4	864.8	63.0
9	physik	11	1	0	0	1	1	0	88	145	19	31	54	31	p4	921.1	67.0
10	physik	11	1	0	0	1	1	0	38	200	145	31	64	31	p4	1099.1	62.6
11	physik	11	1	0	0	1	1	0	90	10	200	31	74	31	p4	1266.5	59.9
12	physik	11	1	0	0	1	1	0	164	31	10	31	73	31	p4	1239.9	64.2
13	physik	11	1	0	0	1	1	0	364	36	31	31	79	31	p4	1333.8	58.9
14	physik	11	1	0	0	1	1	0	327	126	36	31	90	31	p4	1507.5	50.5
15	physik	11	1	0	0	1	1	0	335	30	126	31	100	31	p4	139.8	150.4
16	physik	11	1	0	0	1	1	0	157	38	30	31	110	31	p4	301.7	125.2
17	physik	11	1	0	0	1	1	0	354	42	38	31	126	31	p4	554.9	128.3
18	physik	11	1	0	0	1	1	0	165	22	42	31	145	31	p4	836.6	131.1
19	physik	11	1	0	0	1	1	0	214	34	22	31	141	31	p4	787.5	126.5
20	physik	11	1	0	0	1	1	0	394	77	34	31	152	31	p4	969.3	130.8
21	physik	11	1	0	0	1	1	0	203	30	77	31	22	31	p4	419.2	45.9
22	physik	11	1	0	0	1	1	0	302	76	30	31	14	31	p4	311.0	50.0
23	physik	11	1	0	0	1	1	0	166	11	76	31	162	31	p4	1137.9	130.2
24	physik	11	1	0	0	1	1	0	100	29	11	31	162	31	p4	1127.6	130.1
25	physik	11	1	0	0	1	1	0	178	17	29	31	170	31	p4	1250.3	114.4
26	physik	11	1	0	0	1	1	0	178	24	17	31	168	31	p4	1216.4	120.0
27	physik	11	1	0	0	1	1	0	172	17	24	31	171	31	p4	1264.2	116.2
28	physik	11	1	0	0	1	1	0	109	27	17	31	175	31	p4	1320.3	120.0
29	physik	11	1	0	0	1	1	0	242	21	27	31	182	31	p4	1448.1	118.2
30	physik	11	1	0	0	1	1	0	240	108	21	31	186	31	p4	1506.2	113.3
31	physik	11	1	0	0	1	1	0	163	22	108	31	205	31	p4	219.1	187.2
32	physik	11	1	0	0	1	1	0	181	36	22	31	200	31	p4	139.2	211.0
