fixation_index	text_domain	trial	acc_bq_1	acc_bq_2	acc_bq_3	acc_tq_1	acc_tq_2	acc_tq_3	fixation_duration	next_saccade_duration	previous_saccade_duration	version	aoi	reader_id	item_id	fixation_position_x	fixation_position_y
1	bio	4	1	0	1	0	1	1	231	27	.	91	1	91	b3	89.0	34.7
2	bio	4	1	0	1	0	1	1	130	122	27	91	13	91	b3	256.0	47.2
3	bio	4	1	0	1	0	1	1	253	17	122	91	5	91	b3	144.9	26.7
4	bio	4	1	0	1	0	1	1	142	28	17	91	9	91	b3	198.0	33.4
5	bio	4	1	0	1	0	1	1	277	37	28	91	2	91	b3	103.8	25.3
6	bio	4	1	0	1	0	1	1	147	18	37	91	11	91	b3	233.9	29.9
7	bio	4	1	0	1	0	1	1	160	24	18	91	15	91	b3	297.6	31.5
8	bio	4	1	0	1	0	1	1	193	21	24	91	24	91	b3	447.0	24.7
9	bio	4	1	0	1	0	1	1	181	22	21	91	29	91	b3	519.3	31.4
10	bio	4	1	0	1	0	1	1	191	25	22	91	33	91	b3	584.8	35.3
11	bio	4	1	0	1	0	1	1	179	20	25	91	41	91	b3	719.1	37.1
12	bio	4	1	0	1	0	1	1	174	23	20	91	44	91	b3	782.9	38.4
13	bio	4	1	0	1	0	1	1	233	26	23	91	49	91	b3	866.5	40.4
14	bio	4	1	0	1	0	1	1	136	124	26	91	57	91	b3	992.1	42.3
15	bio	4	1	0	1	0	1	1	143	23	124	91	59	91	b3	1035.4	34.9
16	bio	4	1	0	1	0	1	1	256	24	23	91	63	91	b3	1116.1	51.2
17	bio	4	1	0	1	0	1	1	186	27	24	91	72	91	b3	1245.1	50.1
18	bio	4	1	0	1	0	1	1	183	19	27	91	81	91	b3	1390.9	57.1
19	bio	4	1	0	1	0	1	1	286	64	19	91	86	91	b3	1473.9	46.9
20	bio	4	1	0	1	0	1	1	278	50	64	91	52	91	b3	909.7	46.0
21	bio	4	1	0	1	0	1	1	180	23	50	91	38	91	b3	669.8	44.0
22	bio	4	1	0	1	0	1	1	116	106	23	91	34	91	b3	606.6	45.4
23	bio	4	1	0	1	0	1	1	190	23	106	91	23	91	b3	424.5	46.2
24	bio	4	1	0	1	0	1	1	165	37	23	91	17	91	b3	336.5	50.5
25	bio	4	1	0	1	0	1	1	209	17	37	91	6	91	b3	158.2	34.3
26	bio	4	1	0	1	0	1	1	257	88	17	91	3	91	b3	119.9	35.0
27	bio	4	1	0	1	0	1	1	173	36	88	91	75	91	b3	1297.4	61.2
28	bio	4	1	0	1	0	1	1	535	44	36	91	64	91	b3	1133.7	46.5
29	bio	4	1	0	1	0	1	1	175	34	44	91	76	91	b3	1323.6	57.0
30	bio	4	1	0	1	0	1	1	90	122	34	91	86	91	b3	1470.5	53.4
31	bio	4	1	0	1	0	1	1	191	111	122	91	94	91	b3	1598.5	46.9
32	bio	4	1	0	1	0	1	1	75	38	111	91	108	91	b3	253.9	161.1
