fixation_index	text_domain	trial	acc_bq_1	acc_bq_2	acc_bq_3	acc_tq_1	acc_tq_2	acc_tq_3	fixation_duration	next_saccade_duration	previous_saccade_duration	version	aoi	reader_id	item_id	fixation_position_x	fixation_position_y
1	physik	1	0	1	0	0	0	1	267	39	.	104	2	104	p1	102.7	73.7
2	physik	1	0	1	0	0	0	1	306	25	39	104	11	104	p1	254.1	47.7
3	physik	1	0	1	0	0	0	1	331	23	25	104	17	104	p1	356.2	44.2
4	physik	1	0	1	0	0	0	1	199	26	23	104	22	104	p1	444.2	30.3
5	physik	1	0	1	0	0	0	1	278	24	26	104	.	104	p1	567.0	19.0
6	physik	1	0	1	0	0	0	1	113	167	24	104	.	104	p1	474.7	19.0
7	physik	1	0	1	0	0	0	1	268	23	167	104	.	104	p1	385.2	3.2
8	physik	1	0	1	0	0	0	1	128	49	23	104	.	104	p1	473.2	2.5
9	physik	1	0	1	0	0	0	1	233	28	49	104	.	104	p1	130.4	11.5
10	physik	1	0	1	0	0	0	1	253	54	28	104	.	104	p1	237.6	3.9
11	physik	1	0	1	0	0	0	1	145	24	54	104	.	104	p1	686.3	-3.6
12	physik	1	0	1	0	0	0	1	272	28	24	104	.	104	p1	792.4	-0.2
13	physik	1	0	1	0	0	0	1	182	26	28	104	.	104	p1	919.1	2.6
14	physik	1	0	1	0	0	0	1	261	43	26	104	.	104	p1	1044.4	2.6
15	physik	1	0	1	0	0	0	1	151	18	43	104	.	104	p1	1246.3	-12.3
16	physik	1	0	1	0	0	0	1	225	23	18	104	.	104	p1	1192.7	5.6
17	physik	1	0	1	0	0	0	1	94	25	23	104	.	104	p1	1283.3	-14.7
18	physik	1	0	1	0	0	0	1	324	27	25	104	.	104	p1	1387.9	-26.9
19	physik	1	0	1	0	0	0	1	364	23	27	104	.	104	p1	1479.1	-24.7
20	physik	1	0	1	0	0	0	1	274	176	23	104	.	104	p1	1569.9	-20.5
21	physik	1	0	1	0	0	0	1	188	56	176	104	62	104	p1	1106.5	32.3
22	physik	1	0	1	0	0	0	1	162	110	56	104	.	104	p1	1569.2	-1.9
23	physik	1	0	1	0	0	0	1	102	22	110	104	4	104	p1	139.1	83.7
24	physik	1	0	1	0	0	0	1	205	33	22	104	96	104	p1	102.8	102.6
25	physik	1	0	1	0	0	0	1	445	21	33	104	15	104	p1	312.1	88.9
26	physik	1	0	1	0	0	0	1	272	25	21	104	19	104	p1	392.5	89.0
27	physik	1	0	1	0	0	0	1	352	34	25	104	26	104	p1	508.6	93.2
28	physik	1	0	1	0	0	0	1	179	23	34	104	130	104	p1	645.0	103.3
29	physik	1	0	1	0	0	0	1	232	36	23	104	136	104	p1	747.3	102.8
30	physik	1	0	1	0	0	0	1	346	16	36	104	148	104	p1	919.4	102.3
31	physik	1	0	1	0	0	0	1	263	32	16	104	152	104	p1	978.4	109.4
32	physik	1	0	1	0	0	0	1	222	85	32	104	162	104	p1	1132.2	107.1
33	physik	1	0	1	0	0	0	1	368	23	85	104	.	104	p1	188.8	19.5
34	physik	1	0	1	0	0	0	1	175	28	23	104	.	104	p1	299.7	-6.6
35	physik	1	0	1	0	0	0	1	229	42	28	104	.	104	p1	453.0	-3.9
36	physik	1	0	1	0	0	0	1	210	23	42	104	.	104	p1	591.3	0.8
37	physik	1	0	1	0	0	0	1	237	27	23	104	.	104	p1	700.9	2.2
38	physik	1	0	1	0	0	0	1	209	29	27	104	.	104	p1	844.6	7.4
39	physik	1	0	1	0	0	0	1	207	24	29	104	.	104	p1	1006.6	6.2
40	physik	1	0	1	0	0	0	1	131	32	24	104	.	104	p1	1122.4	11.4
41	physik	1	0	1	0	0	0	1	278	18	32	104	.	104	p1	1269.2	2.1
42	physik	1	0	1	0	0	0	1	200	139	18	104	.	104	p1	1337.6	-6.3
43	physik	1	0	1	0	0	0	1	196	23	139	104	.	104	p1	1434.8	-9.8
44	physik	1	0	1	0	0	0	1	393	78	23	104	.	104	p1	1511.5	-0.6
45	physik	1	0	1	0	0	0	1	243	39	78	104	.	104	p1	874.4	-4.7
46	physik	1	0	1	0	0	0	1	222	38	39	104	.	104	p1	1029.1	7.3
47	physik	1	0	1	0	0	0	1	209	25	38	104	.	104	p1	1217.8	2.5
48	physik	1	0	1	0	0	0	1	216	31	25	104	.	104	p1	1313.5	-6.1
49	physik	1	0	1	0	0	0	1	205	44	31	104	.	104	p1	1173.8	8.6
50	physik	1	0	1	0	0	0	1	168	22	44	104	.	104	p1	1415.6	-11.4
51	physik	1	0	1	0	0	0	1	208	18	22	104	.	104	p1	1510.0	-16.0
52	physik	1	0	1	0	0	0	1	58	110	18	104	.	104	p1	1553.6	-17.3
53	physik	1	0	1	0	0	0	1	122	23	110	104	6	104	p1	174.2	66.6
54	physik	1	0	1	0	0	0	1	172	36	23	104	2	104	p1	106.3	89.7
55	physik	1	0	1	0	0	0	1	149	20	36	104	15	104	p1	313.6	68.2
56	physik	1	0	1	0	0	0	1	241	23	20	104	13	104	p1	283.8	78.7
