fixation_index	text_domain	trial	acc_bq_1	acc_bq_2	acc_bq_3	acc_tq_1	acc_tq_2	acc_tq_3	fixation_duration	next_saccade_duration	previous_saccade_duration	version	aoi	reader_id	item_id	fixation_position_x	fixation_position_y
1	physik	12	0	1	0	1	0	1	142	38	.	34	99	34	p5	227.6	135.8
2	physik	12	0	1	0	1	0	1	137	10	38	34	2	34	p5	104.6	51.4
3	physik	12	0	1	0	1	0	1	189	22	10	34	1	34	p5	88.6	42.8
4	physik	12	0	1	0	1	0	1	236	27	22	34	6	34	p5	171.1	47.1
5	physik	12	0	1	0	1	0	1	313	19	27	34	15	34	p5	308.4	56.4
6	physik	12	0	1	0	1	0	1	190	26	19	34	18	34	p5	365.8	44.4
7	physik	12	0	1	0	1	0	1	281	24	26	34	28	34	p5	508.6	49.1
8	physik	12	0	1	0	1	0	1	185	42	24	34	33	34	p5	596.8	40.0
9	physik	12	0	1	0	1	0	1	208	20	42	34	19	34	p5	383.7	36.8
10	physik	12	0	1	0	1	0	1	182	40	20	34	22	34	p5	420.2	39.8
11	physik	12	0	1	0	1	0	1	250	26	40	34	33	34	p5	598.0	44.6
12	physik	12	0	1	0	1	0	1	300	31	26	34	39	34	p5	704.1	44.1
13	physik	12	0	1	0	1	0	1	250	23	31	34	50	34	p5	871.7	45.9
14	physik	12	0	1	0	1	0	1	232	20	23	34	54	34	p5	943.8	46.2
15	physik	12	0	1	0	1	0	1	225	27	20	34	57	34	p5	988.5	52.5
16	physik	12	0	1	0	1	0	1	188	21	27	34	64	34	p5	1091.9	53.3
17	physik	12	0	1	0	1	0	1	163	26	21	34	66	34	p5	1143.9	52.5
18	physik	12	0	1	0	1	0	1	181	22	26	34	73	34	p5	1242.2	52.3
19	physik	12	0	1	0	1	0	1	178	23	22	34	75	34	p5	1294.5	55.4
20	physik	12	0	1	0	1	0	1	145	20	23	34	71	34	p5	1205.0	58.1
21	physik	12	0	1	0	1	0	1	92	24	20	34	73	34	p5	1252.3	61.1
22	physik	12	0	1	0	1	0	1	242	30	24	34	77	34	p5	1315.4	56.9
23	physik	12	0	1	0	1	0	1	148	105	30	34	84	34	p5	1435.1	59.9
24	physik	12	0	1	0	1	0	1	307	26	105	34	91	34	p5	115.2	110.6
25	physik	12	0	1	0	1	0	1	250	20	26	34	100	34	p5	254.7	130.9
26	physik	12	0	1	0	1	0	1	242	26	20	34	102	34	p5	298.8	131.5
27	physik	12	0	1	0	1	0	1	150	25	26	34	109	34	p5	412.1	131.8
28	physik	12	0	1	0	1	0	1	301	30	25	34	115	34	p5	511.3	134.5
29	physik	12	0	1	0	1	0	1	250	26	30	34	125	34	p5	656.7	129.4
30	physik	12	0	1	0	1	0	1	183	28	26	34	116	34	p5	527.0	127.1
31	physik	12	0	1	0	1	0	1	178	27	28	34	126	34	p5	670.1	130.6
32	physik	12	0	1	0	1	0	1	142	21	27	34	132	34	p5	775.7	128.1
