fixation_index	text_domain	trial	acc_bq_1	acc_bq_2	acc_bq_3	acc_tq_1	acc_tq_2	acc_tq_3	fixation_duration	next_saccade_duration	previous_saccade_duration	version	aoi	reader_id	item_id	fixation_position_x	fixation_position_y
1	bio	7	0	1	1	1	1	1	241	68	.	37	603	37	b5	700.1	517.2
2	bio	7	0	1	1	1	1	1	36	49	68	37	109	37	b5	375.4	173.6
3	bio	7	0	1	1	1	1	1	100	23	49	37	9	37	b5	219.5	80.2
4	bio	7	0	1	1	1	1	1	252	50	23	37	6	37	b5	173.6	55.4
5	bio	7	0	1	1	1	1	1	175	24	50	37	14	37	b5	310.4	51.5
6	bio	7	0	1	1	1	1	1	343	14	24	37	20	37	b5	415.7	55.5
7	bio	7	0	1	1	1	1	1	134	26	14	37	19	37	b5	388.5	58.4
8	bio	7	0	1	1	1	1	1	310	68	26	37	29	37	b5	552.5	63.7
9	bio	7	0	1	1	1	1	1	137	21	68	37	11	37	b5	267.2	52.6
10	bio	7	0	1	1	1	1	1	97	43	21	37	14	37	b5	309.7	60.2
11	bio	7	0	1	1	1	1	1	260	21	43	37	6	37	b5	175.8	62.6
12	bio	7	0	1	1	1	1	1	124	29	21	37	8	37	b5	211.4	54.6
13	bio	7	0	1	1	1	1	1	189	38	29	37	16	37	b5	360.2	56.9
14	bio	7	0	1	1	1	1	1	171	27	38	37	27	37	b5	520.3	58.3
15	bio	7	0	1	1	1	1	1	302	11	27	37	22	37	b5	434.7	56.0
16	bio	7	0	1	1	1	1	1	177	39	11	37	20	37	b5	404.8	54.5
17	bio	7	0	1	1	1	1	1	183	65	39	37	28	37	b5	537.0	64.8
18	bio	7	0	1	1	1	1	1	327	95	65	37	22	37	b5	429.5	56.2
19	bio	7	0	1	1	1	1	1	127	29	95	37	32	37	b5	595.2	64.6
20	bio	7	0	1	1	1	1	1	207	37	29	37	38	37	b5	702.5	66.5
21	bio	7	0	1	1	1	1	1	147	21	37	37	44	37	b5	807.4	63.8
22	bio	7	0	1	1	1	1	1	306	28	21	37	48	37	b5	870.9	58.9
23	bio	7	0	1	1	1	1	1	335	28	28	37	58	37	b5	1028.3	57.9
24	bio	7	0	1	1	1	1	1	479	18	28	37	68	37	b5	1174.5	56.9
25	bio	7	0	1	1	1	1	1	249	53	18	37	68	37	b5	1178.2	53.6
26	bio	7	0	1	1	1	1	1	140	35	53	37	55	37	b5	977.0	49.7
27	bio	7	0	1	1	1	1	1	169	20	35	37	46	37	b5	836.0	52.3
28	bio	7	0	1	1	1	1	1	694	63	20	37	48	37	b5	869.7	51.0
29	bio	7	0	1	1	1	1	1	161	45	63	37	29	37	b5	552.4	50.1
30	bio	7	0	1	1	1	1	1	164	23	45	37	11	37	b5	253.4	41.9
31	bio	7	0	1	1	1	1	1	253	22	23	37	15	37	b5	329.7	46.4
32	bio	7	0	1	1	1	1	1	233	101	22	37	20	37	b5	407.7	45.8
33	bio	7	0	1	1	1	1	1	194	24	101	37	23	37	b5	449.2	62.5
34	bio	7	0	1	1	1	1	1	161	44	24	37	28	37	b5	538.9	58.6
35	bio	7	0	1	1	1	1	1	152	42	44	37	40	37	b5	739.1	62.3
36	bio	7	0	1	1	1	1	1	182	23	42	37	51	37	b5	914.3	67.1
37	bio	7	0	1	1	1	1	1	197	30	23	37	58	37	b5	1020.4	61.1
38	bio	7	0	1	1	1	1	1	192	26	30	37	67	37	b5	1166.8	56.0
39	bio	7	0	1	1	1	1	1	206	38	26	37	75	37	b5	1291.0	51.1
40	bio	7	0	1	1	1	1	1	220	84	38	37	84	37	b5	1446.5	53.1
41	bio	7	0	1	1	1	1	1	109	57	84	37	23	37	b5	448.7	88.9
42	bio	7	0	1	1	1	1	1	211	28	57	37	92	37	b5	135.7	124.9
43	bio	7	0	1	1	1	1	1	161	26	28	37	97	37	b5	199.4	131.5
44	bio	7	0	1	1	1	1	1	500	87	26	37	103	37	b5	297.0	134.1
45	bio	7	0	1	1	1	1	1	75	46	87	37	78	37	b5	1327.9	85.4
46	bio	7	0	1	1	1	1	1	256	88	46	37	85	37	b5	1459.6	71.2
47	bio	7	0	1	1	1	1	1	175	31	88	37	104	37	b5	315.9	125.0
48	bio	7	0	1	1	1	1	1	325	34	31	37	102	37	b5	264.7	136.1
49	bio	7	0	1	1	1	1	1	137	36	34	37	109	37	b5	383.0	139.1
50	bio	7	0	1	1	1	1	1	166	44	36	37	115	37	b5	484.5	142.7
51	bio	7	0	1	1	1	1	1	160	23	44	37	123	37	b5	638.3	143.4
52	bio	7	0	1	1	1	1	1	389	26	23	37	120	37	b5	572.9	140.6
53	bio	7	0	1	1	1	1	1	371	19	26	37	115	37	b5	481.5	142.1
54	bio	7	0	1	1	1	1	1	221	27	19	37	118	37	b5	545.2	147.2
55	bio	7	0	1	1	1	1	1	154	26	27	37	124	37	b5	640.1	148.1
56	bio	7	0	1	1	1	1	1	191	49	26	37	135	37	b5	809.1	148.6
57	bio	7	0	1	1	1	1	1	263	38	49	37	149	37	b5	1040.7	148.2
58	bio	7	0	1	1	1	1	1	186	30	38	37	164	37	b5	1277.2	146.7
59	bio	7	0	1	1	1	1	1	221	35	30	37	174	37	b5	1425.9	148.2
60	bio	7	0	1	1	1	1	1	240	30	35	37	164	37	b5	1278.3	141.7
61	bio	7	0	1	1	1	1	1	141	73	30	37	173	37	b5	1414.8	141.9
62	bio	7	0	1	1	1	1	1	208	79	73	37	144	37	b5	974.8	131.2
63	bio	7	0	1	1	1	1	1	497	27	79	37	104	37	b5	314.7	129.5
64	bio	7	0	1	1	1	1	1	171	29	27	37	13	37	b5	289.4	68.2
65	bio	7	0	1	1	1	1	1	144	62	29	37	8	37	b5	199.7	52.9
66	bio	7	0	1	1	1	1	1	245	40	62	37	26	37	b5	505.5	64.1
67	bio	7	0	1	1	1	1	1	148	56	40	37	35	37	b5	651.0	74.5
68	bio	7	0	1	1	1	1	1	158	49	56	37	50	37	b5	900.5	60.9
69	bio	7	0	1	1	1	1	1	173	26	49	37	60	37	b5	1051.8	68.4
70	bio	7	0	1	1	1	1	1	209	27	26	37	68	37	b5	1181.1	71.5
71	bio	7	0	1	1	1	1	1	203	47	27	37	76	37	b5	1303.9	66.9
72	bio	7	0	1	1	1	1	1	249	23	47	37	176	37	b5	1460.4	135.1
73	bio	7	0	1	1	1	1	1	144	101	23	37	182	37	b5	1559.2	136.1
74	bio	7	0	1	1	1	1	1	130	27	101	37	108	37	b5	362.3	148.7
75	bio	7	0	1	1	1	1	1	233	52	27	37	7	37	b5	185.4	59.1
76	bio	7	0	1	1	1	1	1	219	41	52	37	192	37	b5	154.4	206.9
