fixation_index	text_domain	trial	acc_bq_1	acc_bq_2	acc_bq_3	acc_tq_1	acc_tq_2	acc_tq_3	fixation_duration	next_saccade_duration	previous_saccade_duration	version	aoi	reader_id	item_id	fixation_position_x	fixation_position_y
1	physik	7	0	0	1	1	1	1	179	22	.	23	.	23	p0	103.5	14.6
2	physik	7	0	0	1	1	1	1	205	24	22	23	.	23	p0	177.6	14.9
3	physik	7	0	0	1	1	1	1	166	18	24	23	12	23	p0	266.6	28.5
4	physik	7	0	0	1	1	1	1	207	24	18	23	16	23	p0	318.2	33.7
5	physik	7	0	0	1	1	1	1	67	24	24	23	21	23	p0	409.9	35.3
6	physik	7	0	0	1	1	1	1	164	23	24	23	27	23	p0	505.9	30.9
7	physik	7	0	0	1	1	1	1	240	35	23	23	31	23	p0	570.5	38.2
8	physik	7	0	0	1	1	1	1	291	14	35	23	39	23	p0	701.2	42.4
9	physik	7	0	0	1	1	1	1	59	38	14	23	42	23	p0	743.3	54.8
10	physik	7	0	0	1	1	1	1	212	14	38	23	54	23	p0	927.8	53.6
11	physik	7	0	0	1	1	1	1	181	21	14	23	51	23	p0	890.1	53.9
12	physik	7	0	0	1	1	1	1	306	13	21	23	56	23	p0	948.8	54.0
13	physik	7	0	0	1	1	1	1	129	24	13	23	59	23	p0	998.4	53.6
14	physik	7	0	0	1	1	1	1	240	32	24	23	65	23	p0	1095.2	52.9
15	physik	7	0	0	1	1	1	1	188	14	32	23	72	23	p0	1220.1	60.4
16	physik	7	0	0	1	1	1	1	78	28	14	23	75	23	p0	1268.3	65.8
17	physik	7	0	0	1	1	1	1	388	24	28	23	81	23	p0	1358.2	74.2
18	physik	7	0	0	1	1	1	1	278	21	24	23	87	23	p0	1463.0	73.1
19	physik	7	0	0	1	1	1	1	218	43	21	23	93	23	p0	1541.2	76.7
20	physik	7	0	0	1	1	1	1	133	20	43	23	76	23	p0	1276.6	66.3
21	physik	7	0	0	1	1	1	1	256	103	20	23	81	23	p0	1354.9	73.4
22	physik	7	0	0	1	1	1	1	111	28	103	23	105	23	p0	218.6	126.8
23	physik	7	0	0	1	1	1	1	237	16	28	23	100	23	p0	119.4	115.9
24	physik	7	0	0	1	1	1	1	220	30	16	23	103	23	p0	165.8	118.1
25	physik	7	0	0	1	1	1	1	133	13	30	23	110	23	p0	298.7	132.7
26	physik	7	0	0	1	1	1	1	171	17	13	23	108	23	p0	260.2	133.9
27	physik	7	0	0	1	1	1	1	164	37	17	23	110	23	p0	311.5	136.2
28	physik	7	0	0	1	1	1	1	250	24	37	23	122	23	p0	492.2	130.2
29	physik	7	0	0	1	1	1	1	313	22	24	23	130	23	p0	614.4	141.7
30	physik	7	0	0	1	1	1	1	264	22	22	23	134	23	p0	681.8	142.3
31	physik	7	0	0	1	1	1	1	213	76	22	23	129	23	p0	602.0	147.2
32	physik	7	0	0	1	1	1	1	165	25	76	23	136	23	p0	714.6	149.6
33	physik	7	0	0	1	1	1	1	255	32	25	23	130	23	p0	614.9	154.5
34	physik	7	0	0	1	1	1	1	180	19	32	23	137	23	p0	746.5	155.2
35	physik	7	0	0	1	1	1	1	145	23	19	23	140	23	p0	797.4	159.4
36	physik	7	0	0	1	1	1	1	180	24	23	23	144	23	p0	876.0	163.5
37	physik	7	0	0	1	1	1	1	300	12	24	23	149	23	p0	955.1	161.0
38	physik	7	0	0	1	1	1	1	186	17	12	23	147	23	p0	923.1	146.3
39	physik	7	0	0	1	1	1	1	78	83	17	23	150	23	p0	973.9	152.9
40	physik	7	0	0	1	1	1	1	386	29	83	23	158	23	p0	1100.4	142.8
41	physik	7	0	0	1	1	1	1	555	113	29	23	166	23	p0	1218.6	134.7
42	physik	7	0	0	1	1	1	1	203	33	113	23	175	23	p0	1366.0	121.3
43	physik	7	0	0	1	1	1	1	371	93	33	23	184	23	p0	1494.4	120.4
44	physik	7	0	0	1	1	1	1	118	48	93	23	121	23	p0	481.6	169.4
45	physik	7	0	0	1	1	1	1	286	13	48	23	102	23	p0	154.8	180.7
46	physik	7	0	0	1	1	1	1	181	22	13	23	197	23	p0	186.4	200.2
47	physik	7	0	0	1	1	1	1	244	36	22	23	203	23	p0	261.2	226.6
48	physik	7	0	0	1	1	1	1	188	11	36	23	213	23	p0	422.1	242.3
49	physik	7	0	0	1	1	1	1	326	28	11	23	211	23	p0	399.2	241.9
50	physik	7	0	0	1	1	1	1	282	33	28	23	219	23	p0	523.9	238.5
51	physik	7	0	0	1	1	1	1	201	45	33	23	224	23	p0	620.6	242.8
52	physik	7	0	0	1	1	1	1	269	52	45	23	219	23	p0	526.6	243.8
53	physik	7	0	0	1	1	1	1	219	30	52	23	224	23	p0	613.7	244.4
54	physik	7	0	0	1	1	1	1	181	93	30	23	230	23	p0	714.2	246.0
55	physik	7	0	0	1	1	1	1	204	17	93	23	231	23	p0	730.9	252.2
56	physik	7	0	0	1	1	1	1	140	39	17	23	228	23	p0	689.3	248.6
57	physik	7	0	0	1	1	1	1	257	119	39	23	239	23	p0	853.0	260.9
58	physik	7	0	0	1	1	1	1	103	18	119	23	244	23	p0	941.3	242.5
59	physik	7	0	0	1	1	1	1	142	35	18	23	247	23	p0	994.1	243.6
60	physik	7	0	0	1	1	1	1	172	25	35	23	240	23	p0	887.7	241.5
61	physik	7	0	0	1	1	1	1	184	35	25	23	248	23	p0	1007.2	236.0
62	physik	7	0	0	1	1	1	1	222	36	35	23	255	23	p0	1133.9	236.7
63	physik	7	0	0	1	1	1	1	277	32	36	23	264	23	p0	1284.8	243.2
64	physik	7	0	0	1	1	1	1	142	24	32	23	271	23	p0	1391.5	241.9
65	physik	7	0	0	1	1	1	1	310	112	24	23	275	23	p0	1473.2	248.6
66	physik	7	0	0	1	1	1	1	138	25	112	23	293	23	p0	208.4	305.1
67	physik	7	0	0	1	1	1	1	183	99	25	23	286	23	p0	116.3	308.7
68	physik	7	0	0	1	1	1	1	165	23	99	23	275	23	p0	1469.5	237.5
69	physik	7	0	0	1	1	1	1	260	14	23	23	280	23	p0	1538.2	232.1
70	physik	7	0	0	1	1	1	1	215	111	14	23	277	23	p0	1500.6	233.5
71	physik	7	0	0	1	1	1	1	314	37	111	23	289	23	p0	151.4	299.9
72	physik	7	0	0	1	1	1	1	295	40	37	23	299	23	p0	303.8	303.4
73	physik	7	0	0	1	1	1	1	202	19	40	23	309	23	p0	473.3	305.8
74	physik	7	0	0	1	1	1	1	142	23	19	23	313	23	p0	532.1	310.1
75	physik	7	0	0	1	1	1	1	210	28	23	23	318	23	p0	637.0	306.9
76	physik	7	0	0	1	1	1	1	285	37	28	23	323	23	p0	718.9	316.4
77	physik	7	0	0	1	1	1	1	157	13	37	23	334	23	p0	885.6	312.5
78	physik	7	0	0	1	1	1	1	182	20	13	23	332	23	p0	854.7	315.4
79	physik	7	0	0	1	1	1	1	215	27	20	23	337	23	p0	922.8	323.5
80	physik	7	0	0	1	1	1	1	241	24	27	23	343	23	p0	1039.9	320.4
81	physik	7	0	0	1	1	1	1	288	24	24	23	350	23	p0	1143.0	312.7
82	physik	7	0	0	1	1	1	1	246	15	24	23	357	23	p0	1251.7	306.6
83	physik	7	0	0	1	1	1	1	253	16	15	23	359	23	p0	1298.2	308.8
84	physik	7	0	0	1	1	1	1	182	94	16	23	362	23	p0	1352.4	312.6
85	physik	7	0	0	1	1	1	1	102	48	94	23	.	23	p0	1464.5	311.8
86	physik	7	0	0	1	1	1	1	123	64	48	23	.	23	p0	1467.7	306.1
87	physik	7	0	0	1	1	1	1	138	72	64	23	423	23	p0	916.5	345.8
88	physik	7	0	0	1	1	1	1	131	23	72	23	380	23	p0	231.1	370.3
89	physik	7	0	0	1	1	1	1	178	25	23	23	374	23	p0	142.3	378.6
90	physik	7	0	0	1	1	1	1	199	24	25	23	381	23	p0	237.2	390.7
91	physik	7	0	0	1	1	1	1	203	19	24	23	385	23	p0	314.5	401.6
92	physik	7	0	0	1	1	1	1	214	113	19	23	390	23	p0	389.0	404.7
93	physik	7	0	0	1	1	1	1	275	158	113	23	398	23	p0	511.9	401.4
94	physik	7	0	0	1	1	1	1	178	23	158	23	388	23	p0	367.4	389.3
95	physik	7	0	0	1	1	1	1	237	32	23	23	394	23	p0	453.7	406.0
96	physik	7	0	0	1	1	1	1	89	17	32	23	402	23	p0	579.5	418.1
97	physik	7	0	0	1	1	1	1	120	41	17	23	398	23	p0	528.8	425.7
98	physik	7	0	0	1	1	1	1	217	15	41	23	388	23	p0	365.0	421.3
99	physik	7	0	0	1	1	1	1	275	27	15	23	391	23	p0	408.8	424.6
100	physik	7	0	0	1	1	1	1	177	34	27	23	398	23	p0	516.4	423.1
101	physik	7	0	0	1	1	1	1	245	24	34	23	494	23	p0	646.2	428.4
102	physik	7	0	0	1	1	1	1	212	41	24	23	411	23	p0	728.9	421.2
103	physik	7	0	0	1	1	1	1	149	26	41	23	423	23	p0	906.6	410.2
104	physik	7	0	0	1	1	1	1	341	17	26	23	428	23	p0	1003.9	401.1
105	physik	7	0	0	1	1	1	1	279	34	17	23	425	23	p0	957.7	397.4
106	physik	7	0	0	1	1	1	1	288	40	34	23	437	23	p0	1130.2	406.1
107	physik	7	0	0	1	1	1	1	226	25	40	23	445	23	p0	1269.1	409.2
108	physik	7	0	0	1	1	1	1	147	12	25	23	452	23	p0	1374.5	407.6
109	physik	7	0	0	1	1	1	1	251	103	12	23	454	23	p0	1421.4	411.5
110	physik	7	0	0	1	1	1	1	103	24	103	23	469	23	p0	242.4	454.4
111	physik	7	0	0	1	1	1	1	352	22	24	23	463	23	p0	141.1	452.9
112	physik	7	0	0	1	1	1	1	247	23	22	23	469	23	p0	244.1	470.4
